content_key,level_code,genre,passage_ja,passage_ko,question,choice1,choice2,choice3,choice4,answer,explanation_ko
jlpt.n2.reading.0001,N2,論説,{近年|きんねん}、{人工|じんこう}{知能|ちのう}の{発達|はったつ}によって、これまで{人間|にんげん}が{行|い}ってきた{多|おお}くの{作業|さぎょう}が{機械|きかい}に{任|まか}せられるようになりつつある。{単純|たんじゅん}な{計算|けいさん}や{情報|じょうほう}の{整理|せいり}はもちろん、{文章|ぶんしょう}を{書|か}いたり{絵|え}を{描|えが}いたりといった{仕事|しごと}まで、{機械|きかい}がこなせるようになった。これを{歓迎|かんげい}する{声|こえ}がある{一方|いっぽう}で、{人間|にんげん}の{仕事|しごと}が{奪|うば}われるのではないかと{不安|ふあん}を{抱|いだ}く{人|ひと}も{少|すく}なくない。しかし、{私|わたし}はこの{変化|へんか}を{悲観|ひかん}する{必要|ひつよう}はないと{考|かんが}えている。{機械|きかい}が{得意|とくい}とするのは、あくまで{決|き}められた{手順|てじゅん}を{正確|せいかく}に{繰|く}り{返|かえ}すことである。{何|なん}を{目指|めざ}すべきか、どのような{価値|かち}を{大切|たいせつ}にするかを{判断|はんだん}するのは、{依然|いぜん}として{人間|にんげん}の{役割|やくわり}にほかならない。むしろ、{面倒|めんどう}な{作業|さぎょう}から{解放|かいほう}されることによって、{人間|にんげん}はより{創造|そうぞう}{的|てき}な{活動|かつどう}に{力|ちから}を{注|そそ}げるようになるはずだ。{大切|たいせつ}なのは、{機械|きかい}を{恐|おそ}れることではなく、{機械|きかい}とどう{付|つ}き{合|あ}っていくかを{考|かんが}えることだろう。,최근 인공지능의 발달로 지금까지 인간이 해 온 많은 작업을 기계에 맡길 수 있게 되어 가고 있다. 단순한 계산이나 정보 정리는 물론 글을 쓰거나 그림을 그리는 일까지 기계가 해낼 수 있게 되었다. 이를 환영하는 목소리가 있는 한편 인간의 일자리를 빼앗기는 것이 아닌가 하고 불안해하는 사람도 적지 않다. 하지만 나는 이 변화를 비관할 필요는 없다고 생각한다. 기계가 잘하는 것은 어디까지나 정해진 순서를 정확히 반복하는 일이다. 무엇을 목표로 삼아야 할지 어떤 가치를 소중히 여길지를 판단하는 것은 여전히 인간의 역할일 수밖에 없다. 오히려 번거로운 작업에서 해방됨으로써 인간은 더 창조적인 활동에 힘을 쏟을 수 있게 될 것이다. 중요한 것은 기계를 두려워하는 것이 아니라 기계와 어떻게 어울려 갈지를 생각하는 일일 것이다.,{筆者|ひっしゃ}は{人工|じんこう}{知能|ちのう}の{発達|はったつ}についてどう{考|かんが}えているか。,{悲観|ひかん}する{必要|ひつよう}はなく、{機械|きかい}とどう{付|つ}き{合|あ}うかを{考|かんが}えるべきだ,{人間|にんげん}の{仕事|しごと}が{機械|きかい}に{奪|うば}われるので、ただ{不安|ふあん}に{思|おも}うしかない,{機械|きかい}に{任|まか}せておけば、{人間|にんげん}は{何|なん}も{考|かんが}えなくてよくなる,{機械|きかい}は{創造|そうぞう}{的|てき}な{活動|かつどう}も{人間|にんげん}より{上手|じょうず}にこなせる,1,본문에 「私はこの変化を悲観する必要はないと考えている」라고 하고 마지막에 「機械を恐れることではなく、機械とどう付き合っていくかを考えることだろう」라고 결론짓습니다. 따라서 정답은 1번입니다.
jlpt.n2.reading.0002,N2,意見文,「{時間|じかん}を{無駄|むだ}にしてはいけない」という{言葉|ことば}を、{私|わたし}たちは{子|こ}どものころから{何|なん}{度|ど}も{聞|き}かされてきた。{確|たし}かに、{限|かぎ}られた{時間|じかん}を{有効|ゆうこう}に{使|つか}うことは{大切|たいせつ}である。しかし、{何|なん}もかも{効率|こうりつ}で{測|はか}ろうとする{風潮|ふうちょう}には、{少|すこ}し{疑問|ぎもん}を{感|かん}じずにはいられない。ぼんやりと{空|そら}を{眺|なが}めたり、{目的|もくてき}もなく{町|まち}を{歩|ある}いたりする{時間|じかん}は、{一見|いっけん}すると{無駄|むだ}に{思|おも}えるかもしれない。だが、そうした{時間|じかん}の{中|なか}でこそ、{思|おも}いがけない{考|かんが}えが{浮|う}かんだり、{心|こころ}が{整理|せいり}されたりすることがある。すべてを{効率|こうりつ}よく{片|かた}づけようとするあまり、かえって{大切|たいせつ}なものを{見失|みうしな}ってしまうのではないだろうか。{時|じ}には{立|た}ち{止|ど}まり、{無駄|むだ}に{見|み}える{時間|じかん}を{楽|たの}しむ{余裕|よゆう}も、{私|わたし}たちの{生活|せいかつ}には{必要|ひつよう}なのだと{思|おも}う。,'시간을 낭비해서는 안 된다'는 말을 우리는 어릴 때부터 몇 번이나 들어 왔다. 확실히 한정된 시간을 효과적으로 쓰는 것은 중요하다. 하지만 무엇이든 효율로 재려는 풍조에는 조금 의문을 느끼지 않을 수 없다. 멍하니 하늘을 바라보거나 목적 없이 거리를 걷는 시간은 언뜻 보면 낭비처럼 여겨질지도 모른다. 그러나 그런 시간 속에서야말로 뜻밖의 생각이 떠오르거나 마음이 정리되거나 하는 일이 있다. 모든 것을 효율적으로 처리하려는 나머지 오히려 소중한 것을 잃어버리는 것은 아닐까. 때로는 멈춰 서서 낭비처럼 보이는 시간을 즐기는 여유도 우리 삶에는 필요한 것이라고 생각한다.,{筆者|ひっしゃ}が{最も|もっとも}{言い|いい}たいことは{何|なん}か。,{時間|じかん}はできる{限|かぎ}り{効率|こうりつ}よく{使|つか}うべきである,{無駄|むだ}に{見|み}える{時間|じかん}にも、{大切|たいせつ}な{意味|いみ}がある,{目的|もくてき}もなく{町|まち}を{歩|ある}くのはやめたほうがよい,{子|こ}どものころに{教|おそ}わったことはすべて{正|ただ}しい,2,「無駄に見える時間を楽しむ余裕も、私たちの生活には必要なのだと思う」라며 효율만으로 재는 태도에 의문을 제기합니다. 따라서 정답은 2번입니다.
jlpt.n2.reading.0003,N2,随筆,{父|ちち}から{届|とど}いた{手紙|てがみ}を、{久|ひさ}しぶりに{読|よ}み{返|かえ}した。{決|けっ}して{上手|じょうず}とは{言|い}えない、{少|すこ}し{曲|ま}がった{文字|もじ}が{並|なら}んでいる。{子|こ}どものころは、その{字|じ}を{見|み}て「もっときれいに{書|か}けばいいのに」と{思|おも}ったものだった。しかし、{大人|おとな}になった{今|いま}、{同|おな}じ{文字|もじ}がまったく{違|ちが}って{見|み}える。{一|いち}{字|じ}{一|いち}{字|じ}に、こちらを{気|き}づかう{気持|きも}ちがにじみ{出|で}ているように{感|かん}じられるのだ。{便利|べんり}なメールならば{一瞬|いっしゅん}で{送|おく}れるのに、{父|ちち}はわざわざ{時間|じかん}をかけて{手|て}を{動|うご}かし、この{手紙|てがみ}を{書|か}いてくれた。{整|ととの}った{文字|もじ}では{決|けっ}して{伝|つた}わらないものが、この{不|ふ}{格好|かっこう}な{字|じ}には{確|たし}かに{込|こ}められている。そう{思|おも}うと、{簡単|かんたん}には{捨|す}てられず、{私|わたし}は{今|いま}もその{手紙|てがみ}を{大切|たいせつ}にしまっている。,아버지에게서 온 편지를 오랜만에 다시 읽었다. 결코 능숙하다고는 할 수 없는 조금 삐뚤어진 글씨가 늘어서 있다. 어릴 적에는 그 글씨를 보고 '좀 더 예쁘게 쓰면 좋을 텐데'라고 생각하곤 했다. 하지만 어른이 된 지금 같은 글씨가 전혀 다르게 보인다. 한 글자 한 글자에 이쪽을 배려하는 마음이 배어 나오는 듯 느껴지는 것이다. 편리한 메일이라면 순식간에 보낼 수 있는데도 아버지는 일부러 시간을 들여 손을 움직여 이 편지를 써 주었다. 반듯한 글씨로는 결코 전해지지 않는 것이 이 볼품없는 글씨에는 분명히 담겨 있다. 그렇게 생각하니 쉽게 버리지 못하고 나는 지금도 그 편지를 소중히 간직하고 있다.,{筆者|ひっしゃ}が{父|ちち}の{手紙|てがみ}を{大切|たいせつ}にしているのはなぜか。,{父|ちち}の{文字|もじ}がとてもきれいで、{見本|みほん}になるから,メールよりもずっと{早|はや}く{手元|てもと}に{届|とど}いたから,{不|ふ}{格好|かっこう}な{字|じ}に、こちらを{気|き}づかう{父|ちち}の{気持|きも}ちが{込|こ}められているから,{子|こ}どものころの{思|おも}い{出|で}が{細|こま}かく{書か|かか}れているから,3,「整った文字では決して伝わらないものが、この不格好な字には確かに込められている」라며 아버지가 배려해 준 마음을 느낍니다. 따라서 정답은 3번입니다.
jlpt.n2.reading.0004,N2,説明文,{私|わたし}たちはなぜ{眠|ねむ}らなければならないのだろうか。{眠|ねむ}っている{間|あいだ}、ただ{体|からだ}を{休|やす}めているだけのように{思|おも}われがちだが、{実際|じっさい}には{脳|のう}の{中|なか}でさまざまな{働|はたら}きが{行|おこな}われている。{特|とく}に{重要|じゅうよう}なのが、{記憶|きおく}の{整理|せいり}である。{日中|にっちゅう}に{得|え}た{大量|たいりょう}の{情報|じょうほう}のうち、{必要|ひつよう}なものと{不要|ふよう}なものを{脳|のう}が{選|えら}び{分|わ}け、{大切|たいせつ}な{記憶|きおく}を{長|なが}く{残|のこ}る{形|かたち}へと{変|か}えていくのだ。この{作業|さぎょう}は、{深|ふか}い{眠|ねむ}りの{間|あいだ}に{集中|しゅうちゅう}して{進|すす}むことが{分|わ}かっている。つまり、{十分|じゅうぶん}な{睡眠|すいみん}をとらなければ、せっかく{覚|おぼ}えたことも{定着|ていちゃく}しにくくなるということである。{試験|しけん}の{前夜|ぜんや}、{睡眠|すいみん}{時間|じかん}を{削|けず}って{勉強|べんきょう}する{人|ひと}がいるが、これはかえって{逆|ぎゃく}{効果|こうか}になりかねない。{学|まな}んだ{内容|ないよう}をしっかり{身|み}につけるためにも、{質|しつ}のよい{睡眠|すいみん}を{確保|かくほ}することが{欠|か}かせないのである。,우리는 왜 잠을 자야 하는 것일까. 잠자는 동안 그저 몸을 쉬게 하고 있을 뿐이라고 여겨지기 쉽지만 실제로는 뇌 속에서 여러 가지 작용이 이루어지고 있다. 특히 중요한 것이 기억의 정리이다. 낮 동안 얻은 대량의 정보 중 필요한 것과 불필요한 것을 뇌가 가려내어 소중한 기억을 오래 남는 형태로 바꾸어 가는 것이다. 이 작업은 깊은 잠 사이에 집중적으로 진행된다는 것이 밝혀져 있다. 즉 충분한 수면을 취하지 않으면 애써 외운 것도 정착되기 어려워진다는 것이다. 시험 전날 밤 수면 시간을 줄여 공부하는 사람이 있는데 이것은 오히려 역효과가 날 수도 있다. 배운 내용을 제대로 익히기 위해서도 질 좋은 수면을 확보하는 것이 빼놓을 수 없는 것이다.,この{文章|ぶんしょう}によると、{睡眠|すいみん}{中|ちゅう}に{脳|のう}では{何|なん}が{行|おこな}われているか。,{体|からだ}を{休|やす}めているだけで、{脳|のう}は{完全|かんぜん}に{停止|ていし}している,{外|そと}から{新|あたら}しい{情報|じょうほう}を{次々|つぎつぎ}と{取|と}り{込|こ}んでいる,{必要|ひつよう}のない{記憶|きおく}だけを{選|えら}んで{残|のこ}している,{日中|にっちゅう}に{得|え}た{情報|じょうほう}を{整理|せいり}し、{大切|たいせつ}な{記憶|きおく}を{定着|ていちゃく}させている,4,「必要なものと不要なものを脳が選び分け、大切な記憶を長く残る形へと変えていく」라고 설명합니다. 따라서 정답은 4번입니다.
jlpt.n2.reading.0005,N2,説明文,{各地|かくち}の{方言|ほうげん}が、{少|すこ}しずつ{姿|すがた}を{消|け}しつつあると{言|い}われて{久|ひさ}しい。テレビやインターネットを{通|つう}じて{標準|ひょうじゅん}{語|ご}が{広|ひろ}まり、{若|わか}い{世代|せだい}を{中心|ちゅうしん}に、{地元|じもと}の{言葉|ことば}を{使|つか}わない{人|ひと}が{増|ふ}えてきた。{効率|こうりつ}よく{意思|いし}を{伝|つた}えるという{点|てん}では、{共通|きょうつう}の{言葉|ことば}があるのは{便利|べんり}に{違|ちが}いない。しかし、{方言|ほうげん}が{失|うしな}われることは、{単|たん}に{言葉|ことば}が{一|ひと}つ{減|へ}るということにとどまらない。{方言|ほうげん}には、その{土地|とち}で{暮|く}らしてきた{人々|ひとびと}の{歴史|れきし}や、{独特|どくとく}のものの{感|かん}じ{方|かた}が{刻|きざ}み{込|こ}まれている。ある{地方|ちほう}にしかない{言い回し|いいまわし}には、{標準|ひょうじゅん}{語|ご}には{置|お}き{換|か}えられない{微妙|びみょう}な{温|あたた}かみがこもっていることも{少|すく}なくない。{便利|べんり}さと{引|ひ}き{換|か}えに、こうした{豊|ゆた}かさまで{手放|てばな}してしまってよいのか、{一|いち}{度|ど}{立|た}ち{止|ど}まって{考|かんが}えてみる{必要|ひつよう}があるだろう。,각지의 방언이 조금씩 자취를 감춰 가고 있다고 한 지 오래되었다. 텔레비전이나 인터넷을 통해 표준어가 퍼지고 젊은 세대를 중심으로 고장의 말을 쓰지 않는 사람이 늘어났다. 효율적으로 뜻을 전한다는 점에서는 공통의 말이 있는 편이 편리한 것이 틀림없다. 하지만 방언이 사라지는 것은 단지 말이 하나 줄어드는 것에 그치지 않는다. 방언에는 그 고장에서 살아온 사람들의 역사와 독특한 사물을 느끼는 방식이 새겨져 있다. 어느 지방에만 있는 표현에는 표준어로는 바꿀 수 없는 미묘한 따뜻함이 담겨 있는 경우도 적지 않다. 편리함과 맞바꾸어 이러한 풍요로움까지 놓아 버려도 되는지 한번 멈춰 서서 생각해 볼 필요가 있을 것이다.,{筆者|ひっしゃ}は{方言|ほうげん}についてどのように{考|かんが}えているか。,{方言|ほうげん}にはその{土地|とち}の{歴史|れきし}や{感|かん}じ{方|かた}が{刻|きざ}まれており、{失う|うしなう}のは{惜|お}しい,{標準|ひょうじゅん}{語|ご}が{広|ひろ}まるのだから、{方言|ほうげん}はもう{必要|ひつよう}ない,{方言|ほうげん}は{意思|いし}を{伝|つた}えるのに{最も|もっとも}{便利|べんり}な{言葉|ことば}である,{若|わか}い{世代|せだい}は{方言|ほうげん}を{積極|せっきょく}{的|てき}に{使|つか}うべきではない,1,「方言には、その土地で暮らしてきた人々の歴史や、独特のものの感じ方が刻み込まれている」라며 편리함과 맞바꿔 잃어도 되는지 되묻습니다. 따라서 정답은 1번입니다.
jlpt.n2.reading.0006,N2,案内,{社員|しゃいん}{各位|かくい}。{総務|そうむ}{部|ぶ}よりお{知|し}らせいたします。かねてよりご{案内|あんない}しておりました{社内|しゃない}システムの{入|い}れ{替|か}えにつきまして、{来|く}る{三|さん}{月|がつ}{十|じゅう}{五|ご}{日|にち}の{土曜|どよう}{日|ひ}に{作業|さぎょう}を{実施|じっし}する{運|はこ}びとなりました。{当日|とうじつ}は{終日|しゅうじつ}、{社内|しゃない}のネットワークおよびメールがご{利用|りよう}いただけません。{恐|おそ}れ{入|い}りますが、{期限|きげん}の{迫|せま}った{業務|ぎょうむ}につきましては、{前日|ぜんじつ}までに{済|す}ませておいていただきますようお{願|ねが}いいたします。なお、{新|あたら}しいシステムの{操作|そうさ}{説明|せつめい}{会|かい}を、{三|さん}{月|がつ}{十|じゅう}{八|はち}{日|にち}の{午後|ごご}に{会議|かいぎ}{室|しつ}にて{開催|かいさい}いたします。{担当|たんとう}{者|しゃ}は{必|かなら}ずご{出席|しゅっせき}ください。ご{不明|ふめい}な{点|てん}がございましたら、{総務|そうむ}{部|ぶ}の{田村|たむら}までお{問|と}い{合|あ}わせください。ご{協力|きょうりょく}のほど、よろしくお{願|ねが}い{申|もう}し{上|あ}げます。,사원 여러분. 총무부에서 알려 드립니다. 전부터 안내해 온 사내 시스템 교체에 관하여 오는 3월 15일 토요일에 작업을 실시하게 되었습니다. 당일은 하루 종일 사내 네트워크 및 메일을 이용하실 수 없습니다. 죄송하지만 기한이 임박한 업무에 대해서는 전날까지 마쳐 두시기를 부탁드립니다. 또한 새 시스템 조작 설명회를 3월 18일 오후에 회의실에서 개최합니다. 담당자는 반드시 참석해 주십시오. 궁금한 점이 있으시면 총무부의 다무라에게 문의해 주십시오. 협조 부탁드립니다.,このお{知|し}らせによると、{社員|しゃいん}は{前日|ぜんじつ}までに{何|なん}をしておく{必要|ひつよう}があるか。,{新|あたら}しいシステムの{操作|そうさ}{方法|ほうほう}を{覚|おぼ}えておく,{期限|きげん}の{迫|せま}った{業務|ぎょうむ}を{済|す}ませておく,{説明|せつめい}{会|かい}のために{会議|かいぎ}{室|しつ}を{予約|よやく}しておく,{総務|そうむ}{部|ぶ}の{田村|たむら}に{出席|しゅっせき}の{連絡|れんらく}をしておく,2,당일 네트워크와 메일을 쓸 수 없기 때문에 「期限の迫った業務につきましては、前日までに済ませておいていただきますよう」라고 요청합니다. 따라서 정답은 2번입니다.
jlpt.n2.reading.0007,N2,コラム,{人気|にんき}の{店|みせ}の{前|まえ}に、{長|なが}い{行列|ぎょうれつ}ができている{光景|こうけい}をよく{目|め}にする。{一|いち}{時間|じかん}{以上|いじょう}も{並|なら}んで、ようやく{一杯|いっぱい}のラーメンにありつく。そこまでするのかと{驚|おどろ}く{一方|いっぽう}で、その{気持|きも}ちも{分|わ}からなくはない。{並|なら}んで{待|ま}つという{行為|こうい}には、ただ{商品|しょうひん}を{手|て}に{入|い}れる{以上|いじょう}の{意味|いみ}があるのだろう。{苦労|くろう}して{手|て}に{入|い}れたものほど、{価値|かち}が{大|おお}きく{感|かん}じられるのは{人|ひと}の{常|つね}である。{簡単|かんたん}に{手|て}に{入|はい}るものには、なかなか{心|こころ}を{動|うご}かされないものだ。{何|なん}でも{指先|ゆびさき}{一|ひと}つで{注文|ちゅうもん}でき、{翌日|よくじつ}には{届|とど}いてしまう{時代|じだい}だからこそ、あえて{時間|じかん}と{手間|てま}をかける{経験|けいけん}が、かえって{新鮮|しんせん}に{映|うつ}るのかもしれない。{行列|ぎょうれつ}は、{単|たん}なる{不便|ふべん}ではなく、{現代|げんだい}{人|にん}が{求|もと}める{小|ちい}さな{贅沢|ぜいたく}なのだと{言|い}えなくもない。,인기 있는 가게 앞에 긴 줄이 늘어선 광경을 자주 본다. 한 시간 넘게 줄을 서서 겨우 한 그릇의 라멘을 손에 넣는다. 거기까지 하나 싶어 놀라는 한편 그 마음도 모르지 않는다. 줄을 서서 기다린다는 행위에는 단지 상품을 손에 넣는 것 이상의 의미가 있는 것이리라. 고생해서 얻은 것일수록 가치가 크게 느껴지는 것은 사람의 상정이다. 쉽게 손에 들어오는 것에는 좀처럼 마음이 움직이지 않는 법이다. 무엇이든 손끝 하나로 주문할 수 있고 다음 날이면 도착해 버리는 시대이기에 오히려 굳이 시간과 수고를 들이는 경험이 도리어 신선하게 비치는 것인지도 모른다. 줄 서기는 단순한 불편이 아니라 현대인이 원하는 작은 사치라고 할 수 없는 것도 아니다.,{筆者|ひっしゃ}は、{人々|ひとびと}が{行列|ぎょうれつ}に{並|なら}ぶことをどのようにとらえているか。,{時間|じかん}を{浪費|ろうひ}するだけの、{愚|おろ}かな{行為|こうい}である,{商品|しょうひん}を{手|て}に{入|い}れること{以外|いがい}に{意味|いみ}はない,{手間|てま}をかける{経験|けいけん}が、{現代|げんだい}{人|にん}の{求|もと}める{小|ちい}さな{贅沢|ぜいたく}になっている,{何|なん}でもすぐ{手|て}に{入|はい}る{時代|じだい}には、まったく{合|あ}わない{習慣|しゅうかん}だ,3,「あえて時間と手間をかける経験が、かえって新鮮に映る」「現代人が求める小さな贅沢なのだと言えなくもない」라고 합니다. 따라서 정답은 3번입니다.
jlpt.n2.reading.0008,N2,体験談,{大学|だいがく}{時代|じだい}、{地域|ちいき}の{日本|にっぽん}{語|ご}{教室|きょうしつ}でボランティアをしていたことがある。{外国|がいこく}から{来|き}た{人|ひと}たちに、{日本|にっぽん}{語|ご}を{教|おし}えるという{活動|かつどう}だ。{教|おし}える{側|がわ}として{参加|さんか}したはずなのに、{実際|じっさい}に{得|え}るものが{多|おお}かったのは、むしろ{私|わたし}のほうだった。{彼|かれ}らは、{私|わたし}にとって{当|あ}たり{前|まえ}すぎて{意識|いしき}もしなかった{言葉|ことば}の{使|つか}い{方|かた}について、{次々|つぎつぎ}と{鋭|するど}い{質問|しつもん}を{投|な}げかけてくる。「なぜこの{場面|ばめん}ではこう{言|い}うのか」と{問|と}われて、{答|こた}えに{詰|つ}まることも{一|いち}{度|ど}や{二|に}{度|ど}ではなかった。{自分|じぶん}が{母語|ぼご}をいかに{感覚|かんかく}だけで{使|つか}ってきたかを、{思|おも}い{知|し}らされたのである。{人|ひと}に{教|おし}えるとは、{相手|あいて}に{知識|ちしき}を{与|あた}えることであると{同時|どうじ}に、{自分|じぶん}{自身|じしん}の{理解|りかい}を{深|ふか}めることでもあるのだと、この{経験|けいけん}を{通|つう}じて{学|まな}んだ。,대학 시절 지역의 일본어 교실에서 자원봉사를 한 적이 있다. 외국에서 온 사람들에게 일본어를 가르치는 활동이다. 가르치는 쪽으로 참가했을 텐데 실제로 얻는 것이 많았던 것은 오히려 내 쪽이었다. 그들은 나에게 너무나 당연해서 의식조차 하지 않았던 말의 쓰임에 대해 잇달아 날카로운 질문을 던져 온다. '왜 이 상황에서는 이렇게 말하는가'라는 질문에 대답이 막히는 일도 한두 번이 아니었다. 내가 모국어를 얼마나 감각만으로 써 왔는지를 뼈저리게 느끼게 되었다. 남을 가르친다는 것은 상대에게 지식을 주는 것임과 동시에 자기 자신의 이해를 깊게 하는 것이기도 하다는 것을 이 경험을 통해 배웠다.,{筆者|ひっしゃ}はこのボランティアの{経験|けいけん}から{何|なん}を{学|まな}んだか。,{外国|がいこく}{語|ご}を{学|まな}ぶのは、{思|おも}ったより{難|むずか}しいということ,{日本|にっぽん}{語|ご}を{教|おし}えるには、{専門|せんもん}{的|てき}な{資格|しかく}が{必要|ひつよう}だということ,{母語|ぼご}は{感覚|かんかく}だけで{使|つか}っていくのが{一番|いちばん}よいということ,{人|ひと}に{教|おし}えることは、{自分|じぶん}{自身|じしん}の{理解|りかい}を{深|ふか}めることでもあるということ,4,「人に教えるとは、相手に知識を与えることであると同時に、自分自身の理解を深めることでもある」라고 합니다. 따라서 정답은 4번입니다.
jlpt.n2.reading.0009,N2,論説,「もったいない」という{言葉|ことば}が、{近|ちか}ごろ{改|あらた}めて{注目|ちゅうもく}されている。まだ{使|つか}えるものを{捨|す}ててしまうことを{惜|お}しむ、{日本|にっぽん}に{古|ふる}くからある{考|かんが}え{方|かた}である。{大量|たいりょう}に{作|つく}り、{大量|たいりょう}に{消費|しょうひ}し、{大量|たいりょう}に{捨|す}てるという{生活|せいかつ}が{当|あ}たり{前|まえ}になって{久|ひさ}しいが、そのあり{方|かた}が{環境|かんきょう}に{大|おお}きな{負担|ふたん}をかけていることは、もはや{否定|ひてい}できない。{限|かぎ}りある{資源|しげん}をむやみに{使|つか}い{続|つづ}ければ、いつか{行|い}き{詰|づ}まるのは{目|め}に{見|み}えている。だからといって、{我慢|がまん}ばかりの{生活|せいかつ}を{送|おく}れというのではない。{一|ひと}つのものを{長|なが}く{大切|たいせつ}に{使|つか}い、{本当|ほんとう}に{必要|ひつよう}なものだけを{選|えら}ぶ。そうした{暮|く}らし{方|かた}は、{決|けっ}して{貧|まず}しいものではなく、むしろ{心|こころ}を{豊|ゆた}かにしてくれるはずだ。{便利|べんり}さを{追|お}い{求|もと}めてきた{私|わたし}たちが、{今|いま}こそ{学|まな}び{直|なお}すべき{知恵|ちえ}が、そこにはある。,'못타이나이(아깝다)'라는 말이 요즘 다시 주목받고 있다. 아직 쓸 수 있는 것을 버리는 것을 아까워하는 일본에 예로부터 있는 사고방식이다. 대량으로 만들고 대량으로 소비하고 대량으로 버리는 생활이 당연해진 지 오래이지만 그러한 방식이 환경에 큰 부담을 주고 있다는 것은 이제 부정할 수 없다. 한정된 자원을 함부로 계속 쓰면 언젠가 막다른 곳에 이르는 것은 뻔하다. 그렇다고 해서 참기만 하는 생활을 하라는 것은 아니다. 하나의 물건을 오래 소중히 쓰고 정말로 필요한 것만을 고른다. 그러한 삶의 방식은 결코 가난한 것이 아니라 오히려 마음을 풍요롭게 해 줄 것이다. 편리함을 좇아 온 우리가 지금이야말로 다시 배워야 할 지혜가 거기에 있다.,{筆者|ひっしゃ}が「もったいない」という{考|かんが}え{方|かた}について{述|の}べていることは{何|なん}か。,ものを{大切|たいせつ}に{使|つか}う{暮|く}らしは、むしろ{心|こころ}を{豊|ゆた}かにしてくれる,{我慢|がまん}ばかりの、{貧|まず}しい{生活|せいかつ}を{送|おく}るべきだ,{資源|しげん}には{限|かぎ}りがないので、{気|き}にする{必要|ひつよう}はない,{大量|たいりょう}に{消費|しょうひ}する{生活|せいかつ}を、これからも{続|つづ}けるべきだ,1,「一つのものを長く大切に使い」「決して貧しいものではなく、むしろ心を豊かにしてくれるはずだ」라고 합니다. 따라서 정답은 1번입니다.
jlpt.n2.reading.0010,N2,随筆,{引|ひ}き{出|だ}しの{奥|おく}から、{一|いち}{枚|まい}の{古|ふる}い{写真|しゃしん}が{出|で}てきた。もう{二十|にじゅう}{年|ねん}も{前|まえ}のものだろうか、{色|いろ}がすっかりあせている。{写|うつ}っているのは、まだ{若|わか}かったころの{自分|じぶん}と、{今|いま}はもう{会|あ}えなくなった{友人|ゆうじん}たちだ。あのころは、この{時間|じかん}がいつまでも{続|つづ}くものと、{何|なん}の{疑|うたが}いもなく{信|しん}じていた。しかし、{当|あ}たり{前|まえ}に{思|おも}っていた{日々|ひび}は、{振|ふ}り{返|かえ}ってみれば{決|けっ}して{当|あ}たり{前|まえ}ではなかった。あの{瞬間|しゅんかん}は{二|に}{度|ど}と{戻|もど}ってこないからこそ、こうして{胸|むね}を{締|し}めつけるほど{愛|いと}おしいのだろう。{写真|しゃしん}を{見|み}つめながら、{私|わたし}はふと{思|おも}った。{今|いま}のこの{何|なん}{気|げ}ない{毎日|まいにち}もまた、いつか{同|おな}じように、かけがえのないものとして{思|おも}い{出|だ}される{日|ひ}が{来|く}るのだと。,서랍 안쪽에서 오래된 사진 한 장이 나왔다. 벌써 이십 년이나 전의 것일까 색이 완전히 바래 있다. 찍혀 있는 것은 아직 젊었을 무렵의 나와 이제는 만날 수 없게 된 친구들이다. 그 시절에는 이 시간이 언제까지나 계속될 것이라고 아무런 의심도 없이 믿고 있었다. 하지만 당연하게 여기던 나날은 돌이켜 보면 결코 당연한 것이 아니었다. 그 순간은 두 번 다시 돌아오지 않기에 이렇게 가슴을 죄는 만큼 사랑스러운 것이리라. 사진을 바라보면서 나는 문득 생각했다. 지금의 이 아무렇지 않은 나날 또한 언젠가 똑같이 둘도 없는 것으로 떠올려질 날이 온다는 것을.,{筆者|ひっしゃ}が{古|ふる}い{写真|しゃしん}を{見|み}て、{最も|もっとも}{強|つよ}く{感|かん}じたことは{何|なん}か。,{昔|むかし}の{友人|ゆうじん}にもう{一|いち}{度|ど}{会|あ}いたいということ,{何|なん}{気|げ}ない{今|いま}の{毎日|まいにち}も、いつかかけがえのないものとして{思|おも}い{出|だ}されるということ,{若|わか}かったころに{戻|もど}って{人生|じんせい}をやり{直|なお}したいということ,{写真|しゃしん}はすぐ{色|いろ}があせるので、{残|のこ}す{意味|いみ}はないということ,2,마지막에 「今のこの何気ない毎日もまた、いつか同じように、かけがえのないものとして思い出される日が来る」라고 깨닫습니다. 따라서 정답은 2번입니다.
