content_key,level_code,type,script_ja,script_ko,question,choice1,choice2,choice3,choice4,answer
jlpt.n3.listening.0001,N3,課題理解,A:「{部|ぶ}{長|ちょう}、{明日|あした}のプレゼンの{資料|しりょう}、これでよろしいでしょうか。」B:「うん、よくできてるね。あ、でも{表紙|ひょうし}の{日付|ひづけ}が{先週|せんしゅう}のままになってるよ。」A:「あ、{本当|ほんとう}だ。すぐ{直|なお}します。ほかに{何|なん}かありますか。」B:「そうね……。グラフの{色|いろ}をもう{少|すこ}しはっきりさせたほうがいいかな。それと、{印刷|いんさつ}は{明日|あした}の{朝|あさ}でいいから。」A:「わかりました。じゃあ、{日付|ひづけ}とグラフを{直|なお}しておきます。」,A: 「부장님 내일 프레젠테이션 자료 이걸로 괜찮을까요?」 B: 「응 잘 만들었네. 아 근데 표지 날짜가 지난주 그대로네.」 A: 「아 정말이네요. 바로 고칠게요. 그밖에 뭔가 있나요?」 B: 「글쎄……. 그래프 색을 좀 더 뚜렷하게 하는 게 좋겠어. 그리고 인쇄는 내일 아침에 하면 되니까.」 A: 「알겠습니다. 그럼 날짜랑 그래프를 고쳐 둘게요.」,{男|おとこ}の{人|ひと}はこのあとすぐ{何|なん}をしますか。,{日付|ひづけ}とグラフを{直|なお}す,{資料|しりょう}を{印刷|いんさつ}する,{表紙|ひょうし}を{作|つく}り{直|なお}す,{部長|ぶちょう}に{送|おく}る,1
jlpt.n3.listening.0002,N3,ポイント理解,A:「{田中|たなか}さん、{今日|きょう}はいつもより{早|はや}く{帰|かえ}るんだね。」B:「うん、{実|じつ}は{今日|きょう}、{歯|は}{医者|いしゃ}の{予約|よやく}が{入|はい}ってて。」A:「あ、そうなんだ。{歯|は}が{痛い|いたい}の。」B:「ううん、{痛い|いたい}わけじゃなくて、{半年|はんとし}に{一|いち}{回|かい}の{検査|けんさ}なの。{行|い}かないと{気|き}になっちゃって。」A:「なるほどね。それは{行|い}っておいたほうがいいね。」,A: 「다나카 씨 오늘은 평소보다 일찍 가네.」 B: 「응 실은 오늘 치과 예약이 있어서.」 A: 「아 그렇구나. 이가 아파?」 B: 「아니 아픈 건 아니고 반년에 한 번 하는 검사야. 안 가면 신경 쓰여서.」 A: 「그렇구나. 그건 가 두는 게 좋지.」,{田中|たなか}さんはどうして{早|はや}く{帰|かえ}りますか。,{歯|は}が{痛い|いたい}から,{歯|は}の{検査|けんさ}があるから,{仕事|しごと}が{終|お}わったから,{友|とも}だちと{会|あ}うから,2
jlpt.n3.listening.0003,N3,即時応答,A:「{悪|わる}いけど、この{書類|しょるい}、{明日|あした}までにお{願|ねが}いできるかな。」,A: 「미안한데 이 서류 내일까지 부탁할 수 있을까?」,{何|なん}と{答|こた}えますか。,いいえ、どういたしまして。,ええ、{昨日|きのう}もらいましたよ。,わかりました。{何|なん}とかやってみます。,-,3
jlpt.n3.listening.0004,N3,課題理解,A:「{先生|せんせい}、{来週|らいしゅう}の{発表|はっぴょう}なんですが、{何|なん}{人|にん}ずつのグループでやればいいですか。」B:「{三|さん}{人|にん}ずつでお{願|ねが}いします。あ、でも、{今日|きょう}{休|やす}んでる{人|ひと}がいるから、{一|ひと}つだけ{四|よん}{人|にん}のグループになるかもしれないわね。」A:「テーマは{自分|じぶん}たちで{決|き}めていいんですか。」B:「ええ。ただ、ほかのグループと{同|おな}じにならないように、{決|き}まったら{私|わたし}に{一|いち}{度|ど}メールで{知|し}らせてね。」A:「わかりました。じゃあ、まずグループを{作|つく}ります。」,A: 「선생님 다음 주 발표 말인데요 몇 명씩 그룹으로 하면 되나요?」 B: 「세 명씩 부탁해요. 아 근데 오늘 쉬는 사람이 있어서 한 그룹만 네 명이 될지도 몰라요.」 A: 「주제는 저희가 정해도 되나요?」 B: 「네. 다만 다른 그룹과 겹치지 않게 정해지면 저한테 한 번 메일로 알려 줘요.」 A: 「알겠습니다. 그럼 먼저 그룹을 만들게요.」,{学生|がくせい}はこのあとまず{何|なん}をしますか。,テーマを{決|き}める,{先生|せんせい}にメールする,{発表|はっぴょう}をする,グループを{作|つく}る,4
jlpt.n3.listening.0005,N3,ポイント理解,A:「{週末|しゅうまつ}の{引|ひ}っ{越|こ}し、{手伝|てつだ}ってくれてありがとう。{何時|いつ}ごろ{来|こ}られそう。」B:「ええと……。{午前|ごぜん}{中|ちゅう}は{用事|ようじ}があるから、お{昼過|ひるす}ぎになっちゃうんだけど。」A:「{大丈夫|だいじょうぶ}だよ。トラックが{来|く}るのが{二|に}{時|じ}だから、その{前|まえ}に{来|き}てくれれば。」B:「じゃあ、{一時|いちじ}{半|はん}には{着|つ}くようにするね。」A:「{助|たす}かるよ。」,A: 「주말 이사 도와줘서 고마워. 몇 시쯤 올 수 있을 것 같아?」 B: 「음……. 오전에는 볼일이 있어서 점심 지나서가 될 것 같은데.」 A: 「괜찮아. 트럭이 오는 게 두 시니까 그전에 와 주면 돼.」 B: 「그럼 한 시 반에는 도착하도록 할게.」 A: 「고마워.」,{女|おんな}の{人|ひと}は{何時|いつ}ごろ{来|き}ますか。,{一|いち}{時|じ}{半|はん}ごろ,{午前|ごぜん}{中|ちゅう},{二|に}{時|じ},お{昼|ひる}ちょうど,1
jlpt.n3.listening.0006,N3,即時応答,A:「あれ、{今日|きょう}って{会議|かいぎ}、{三|さん}{時|じ}からじゃなかったっけ。」,A: 「어라 오늘 회의 세 시부터 아니었나?」,{何|なん}と{答|こた}えますか。,いいえ、{会議|かいぎ}{室|しつ}です。,はい、{三|さん}{時|じ}に{始|はじ}めました。,うん、{確|たし}か{四|よん}{時|じ}に{変|か}わったはずだよ。,-,3
jlpt.n3.listening.0007,N3,課題理解,A:「{明日|あした}のバーベキュー、{僕|ぼく}は{何|なん}を{持|も}っていけばいい。」B:「そうだね……。{肉|にく}と{野菜|やさい}は{私|わたし}が{買|か}っておくから、{飲|の}み{物|もの}をお{願|ねが}いできる。」A:「{了解|りょうかい}。じゃあ、ジュースとお{茶|ちゃ}を{買|か}っていくよ。」B:「あ、お{皿|さら}とはしも{足|た}りないかもしれないから、それも{頼|たの}んでいい。」A:「わかった。{飲|の}み{物|もの}とお{皿|さら}を{持|も}っていくね。」,A: 「내일 바비큐 나는 뭘 가져가면 돼?」 B: 「글쎄……. 고기랑 채소는 내가 사 둘 테니까 음료를 부탁해도 될까?」 A: 「알겠어. 그럼 주스랑 차를 사 갈게.」 B: 「아 접시랑 젓가락도 부족할지 모르니까 그것도 부탁해도 될까?」 A: 「알겠어. 음료랑 접시를 가져갈게.」,{男|おとこ}の{人|ひと}は{何|なん}を{持|も}っていきますか。,{肉|にく}と{野菜|やさい},{肉|にく}と{飲|の}み{物|もの},{飲|の}み{物|もの}とお{皿|さら},{野菜|やさい}とはし,3
jlpt.n3.listening.0008,N3,ポイント理解,A:「{山田|やまだ}さん、{最近|さいきん}ずいぶん{元気|げんき}そうだね。{何|なん}かいいことでもあった。」B:「{実|じつ}は{先月|せんげつ}からジムに{通|かよ}い{始|はじ}めたんです。」A:「へえ、やせるため。」B:「{最初|さいしょ}はそのつもりだったんですけど、{通|とお}ってるうちに{体|からだ}を{動|うご}かすのが{楽|たの}しくなっちゃって。{今|いま}は{続|つづ}けること{自体|じたい}が{目標|もくひょう}なんです。」A:「いいことだね。」,A: 「야마다 씨 요즘 꽤 활기차 보이네. 뭔가 좋은 일이라도 있었어?」 B: 「실은 지난달부터 헬스장에 다니기 시작했어요.」 A: 「오 살 빼려고?」 B: 「처음엔 그럴 생각이었는데 다니다 보니 몸을 움직이는 게 즐거워져서요. 지금은 계속하는 것 자체가 목표예요.」 A: 「좋은 일이네.」,{山田|やまだ}さんは{今|いま}、{何|なん}のためにジムに{通|かよ}っていますか。,やせるため,{友|とも}だちに{会|あ}うため,{医者|いしゃ}にすすめられたから,{体|からだ}を{動|うご}かすのが{楽|たの}しいから,4
jlpt.n3.listening.0009,N3,即時応答,A:「この{間貸|まがし}した{本|ほん}、もう{読|よ}み{終|お}わった。」,A: 「저번에 빌려준 책 벌써 다 읽었어?」,{何|なん}と{答|こた}えますか。,いいえ、{本屋|ほんや}です。,うん、{来週|らいしゅう}{買|か}うよ。,ごめん、まだ{半分|はんぶん}なんだ。もう{少|すこ}し{待|ま}って。,-,3
jlpt.n3.listening.0010,N3,課題理解,A:「もしもし、そちらのお{店|みせ}、{今週|こんしゅう}の{土曜|どよう}{日|ひ}の{夜|よる}、{六|ろく}{人|にん}で{予約|よやく}できますか。」B:「{申|もう}し{訳|わけ}ございません。{土曜|どよう}{日|ひ}の{夜|よる}はもういっぱいなんです。{日曜|にちよう}{日|ひ}でしたらお{取|と}りできますが。」A:「うーん、{日曜|にちよう}はちょっと……。じゃあ、{金曜|きんよう}の{夜|よる}は{空|あ}いていますか。」B:「{金曜|きんよう}{日|ひ}でしたら{七|なな}{時|じ}から{大丈夫|だいじょうぶ}でございます。」A:「じゃあ、{金曜|きんよう}の{七|なな}{時|じ}でお{願|ねが}いします。」,A: 「여보세요 거기 가게 이번 주 토요일 밤에 여섯 명 예약할 수 있나요?」 B: 「죄송합니다. 토요일 밤은 벌써 다 찼어요. 일요일이시면 잡아 드릴 수 있는데요.」 A: 「음 일요일은 좀……. 그럼 금요일 밤은 비어 있나요?」 B: 「금요일이시면 일곱 시부터 괜찮습니다.」 A: 「그럼 금요일 일곱 시로 부탁드릴게요.」,{男|おとこ}の{人|ひと}はいつ{予約|よやく}しましたか。,{土曜|どよう}{日|ひ}の{夜|よる},{金曜|きんよう}{日|ひ}の{七|なな}{時|じ},{日曜|にちよう}{日|ひ}の{夜|よる},{金曜|きんよう}{日|ひ}の{六|ろく}{時|じ},2
