content_key,level_code,headword,reading,ruby,romaji_ko,pos,conj_type,transitivity,meaning_ko,meaning_ko_alt,example_ja,example_ko,audio_file,source,verify,note
jlpt.n5.vocab.0001,N5,おはようございます,おはようございます,おはようございます,오하요오고자이마스,expr,-,-,안녕하세요(아침),좋은 아침이에요,おはようございます。{今日|きょう}もいい{天気|てんき}ですね。,안녕하세요. 오늘도 날씨가 좋네요.,jlpt.n5.vocab.0001.m4a,ref_only:jf_irodori_a1,draft,いろどり入門 제1과 「おはようございます」 Can-do<1>
jlpt.n5.vocab.0002,N5,こんにちは,こんにちは,こんにちは,콘니치와,expr,-,-,안녕하세요(낮),-,こんにちは。{今日|きょう}はいい{天気|てんき}ですね。,안녕하세요. 오늘은 날씨가 좋네요.,jlpt.n5.vocab.0002.m4a,ref_only:jf_irodori_a1,draft,いろどり入門 제1과 Can-do<1>; 어말 は→わ 어휘예외
jlpt.n5.vocab.0003,N5,こんばんは,こんばんは,こんばんは,콤반와,expr,-,-,안녕하세요(저녁),-,こんばんは。{今日|きょう}はさむいですね。,안녕하세요. 오늘은 춥네요.,jlpt.n5.vocab.0003.m4a,ref_only:jf_irodori_a1,draft,いろどり入門 제1과 Can-do<1>; 어말 は→わ 어휘예외; 예문 교정 2026-07-25 — 「おそいですね(늦으시네요)」가 핀잔 톤으로 읽힐 여지 → 날씨 스몰토크로(형제 인사말과 톤 통일, 대표님 지시)
jlpt.n5.vocab.0004,N5,おやすみなさい,おやすみなさい,おやすみなさい,오야스미나사이,expr,-,-,안녕히 주무세요,잘 자,もうねます。おやすみなさい。,이제 잘게요. 안녕히 주무세요.,jlpt.n5.vocab.0004.m4a,ref_only:jf_irodori_a1,draft,いろどり入門 제1과 Can-do<2>
jlpt.n5.vocab.0005,N5,さようなら,さようなら,さようなら,사요오나라,expr,-,-,안녕히 가세요,작별 인사,さようなら。お{元気|げんき}で。,안녕히 가세요. 건강히 지내세요.,jlpt.n5.vocab.0005.m4a,ref_only:jf_irodori_a1,draft,いろどり入門 제1과 Can-do<2>; 예문 교정 2026-07-25 — さようなら는 오래/영영 못 볼 때의 최종적 작별이라 「また明日(내일 또)」와 모순 → 「お元気で」로 교체(대표님 지적)
jlpt.n5.vocab.0006,N5,ありがとうございます,ありがとうございます,ありがとうございます,아리가토오고자이마스,expr,-,-,감사합니다,고맙습니다,{手伝|てつだ}ってくれてありがとうございます。,도와줘서 고맙습니다.,jlpt.n5.vocab.0006.m4a,ref_only:jf_irodori_a1,draft,いろどり入門 제1과 Can-do<3>
jlpt.n5.vocab.0007,N5,すみません,すみません,すみません,스미마센,expr,-,-,죄송합니다,실례합니다;저기요,すみません。もう{一度|いちど}おねがいします。,죄송합니다. 한 번 더 부탁드려요.,jlpt.n5.vocab.0007.m4a,ref_only:jlpt_n5_sample,draft,jlpt.jp N5 공식샘플 2018 文法·読解 지면
jlpt.n5.vocab.0008,N5,ごめんなさい,ごめんなさい,ごめんなさい,고멘나사이,expr,-,-,미안합니다,-,おくれてごめんなさい。,늦어서 미안합니다.,jlpt.n5.vocab.0008.m4a,ref_only:jf_irodori_a1,draft,いろどり入門 제1과 Can-do<3>
jlpt.n5.vocab.0009,N5,はじめまして,はじめまして,はじめまして,하지메마시테,expr,-,-,처음 뵙겠습니다,-,はじめまして。キムです。,처음 뵙겠습니다. 김이라고 합니다.,jlpt.n5.vocab.0009.m4a,ref_only:jf_irodori_a1,draft,いろどり入門 제3과 Can-do<8> 자기소개
jlpt.n5.vocab.0010,N5,よろしくお願いします,よろしくおねがいします,よろしくお{願|ねが}いします,요로시쿠오네가이시마스,expr,-,-,잘 부탁드립니다,-,{今日|きょう}からよろしくおねがいします。,오늘부터 잘 부탁드립니다.,jlpt.n5.vocab.0010.m4a,ref_only:jf_irodori_a1,draft,いろどり入門 제3과 과제목 「よろしくお願いします」
