content_key,level_code,genre,passage_ja,passage_ko,question,choice1,choice2,choice3,choice4,answer,explanation_ko
jlpt.n4.reading.0001,N4,日記,{先週|せんしゅう}、{母|はは}に{新|あたら}しい{自転|じてん}{車|しゃ}を{買|か}ってもらった。うれしくて、{毎日|まいにち}{学校|がっこう}まで{自転|じてん}{車|しゃ}で{通|かよ}っている。{今朝|けさ}は{音楽|おんがく}を{聞き|きき}ながら{走|はし}っていたら、{道|みち}が{分|わ}からなくなってしまった。{少|すこ}し{遅刻|ちこく}したが、{先生|せんせい}は{何|なん}も{言|い}わなかった。{明日|あした}からは{気|き}をつけようと{思|おも}う。,지난주에 어머니가 새 자전거를 사 주셨다. 기뻐서 매일 학교까지 자전거로 다니고 있다. 오늘 아침에는 음악을 들으면서 달리다가 길을 잃어버리고 말았다. 조금 지각했지만 선생님은 아무 말도 하지 않았다. 내일부터는 조심해야겠다고 생각한다.,この{人|ひと}は{今朝|けさ}どうして{遅刻|ちこく}しましたか。,{音楽|おんがく}を{聞き|きき}ながら{走|はし}って{道|みち}が{分|わ}からなくなったから,{自転|じてん}{車|しゃ}が{壊|こわ}れたから,{母|はは}に{新|あたら}しい{自転|じてん}{車|しゃ}をもらったから,{先生|せんせい}に{注意|ちゅうい}されたから,1,본문에 「音楽を聞きながら走っていたら、道が分からなくなってしまった」라고 나옵니다. 음악을 들으며 달리다 길을 잃어 지각한 것입니다.
jlpt.n4.reading.0002,N4,案内,みなみ{図書|としょ}{館|かん}からのお{知|し}らせです。{来月|らいげつ}から、{一|いち}{度|ど}に{借|か}りられる{本|ほん}の{数|かず}が{五|ご}{冊|さつ}から{十|じゅう}{冊|さつ}に{変|か}わります。たくさん{読|よ}みたい{方|かた}には{便利|べんり}になります。ただし、{返|かえ}す{日|ひ}は{今|いま}までと{同|おな}じで{二|に}{週間|しゅうかん}です。もし{返|かえ}すのが{遅|おく}れそうなら、{電話|でんわ}で{連絡|れんらく}しておいてください。,미나미 도서관에서 알려 드립니다. 다음 달부터 한 번에 빌릴 수 있는 책의 수가 다섯 권에서 열 권으로 바뀝니다. 많이 읽고 싶은 분께는 편리해집니다. 다만 반납일은 지금까지와 같은 2주입니다. 만약 반납이 늦어질 것 같으면 전화로 연락해 두세요.,{来月|らいげつ}から{何|なん}が{変|か}わりますか。,{本|ほん}を{返|かえ}す{日|ひ},{一|いち}{度|ど}に{借|か}りられる{本|ほん}の{数|かず},{図書|としょ}{館|かん}が{開|ひら}いている{時間|じかん},{本|ほん}を{借|か}りるときのお{金|かね},2,「借りられる本の数が五冊から十冊に変わります」라고 되어 있습니다. 반납일(二週間)은 지금과 같다고 했습니다.
jlpt.n4.reading.0003,N4,メモ,たけしへ。{冷蔵|れいぞう}{庫|こ}にカレーが{入|い}れてあるから、{温|あたた}めて{食|た}べてね。お{父|ちち}さんは{今日|きょう}も{仕事|しごと}で{遅|おそ}くなるそうです。お{母|はは}さんは{病院|びょういん}へ{行|い}ってきます。{晩|ばん}ご{飯|はん}の{後|あと}で、お{皿|さら}を{洗|あら}っておいてください。それから、{犬|いぬ}にえさをあげるのを{忘|わす}れないでね。,다케시에게. 냉장고에 카레가 들어 있으니 데워서 먹으렴. 아빠는 오늘도 일 때문에 늦으신다고 해. 엄마는 병원에 다녀올게. 저녁밥을 먹은 뒤에 그릇을 씻어 놓으렴. 그리고 개에게 먹이 주는 걸 잊지 말고.,たけしは{晩|ばん}ご{飯|はん}の{後|あと}で{何|なん}をしますか。,カレーを{作|つく}る,{病院|びょういん}へ{行|い}く,お{皿|さら}を{洗|あら}う,{父|ちち}を{迎|むか}えに{行|い}く,3,「晩ご飯の後で、お皿を洗っておいてください」라고 쓰여 있습니다. 카레는 데워 먹는 것이고 병원에는 엄마가 갑니다.
jlpt.n4.reading.0004,N4,手紙,{田中|たなか}{先生|せんせい}へ。お{久|ひさ}しぶりです。{私|わたし}は{元気|げんき}にしています。{日本|にっぽん}へ{来|き}て、もう{一|いち}{年|ねん}になりました。{最初|さいしょ}は{漢字|かんじ}が{全然|ぜんぜん}{読|よ}めませんでしたが、{今|いま}は{新聞|しんぶん}も{少|すこ}し{読|よ}めるようになりました。{来月|らいげつ}、{国|くに}へ{帰|かえ}る{前|まえ}に{一|いち}{度|ど}{先生|せんせい}に{会|あ}いに{行|い}きたいです。ご{都合|つごう}はいかがですか。,다나카 선생님께. 오랜만입니다. 저는 잘 지내고 있습니다. 일본에 온 지 벌써 1년이 되었습니다. 처음에는 한자를 전혀 읽지 못했지만 지금은 신문도 조금 읽을 수 있게 되었습니다. 다음 달에 고국으로 돌아가기 전에 한 번 선생님을 뵈러 가고 싶습니다. 시간은 어떠신지요?,この{人|ひと}は{今|いま}、どうなりましたか。,{漢字|かんじ}が{全然|ぜんぜん}{読|よ}めない,もう{国|くに}へ{帰|かえ}った,{日本|にっぽん}{語|ご}の{先生|せんせい}になった,{新聞|しんぶん}が{少|すこ}し{読|よ}めるようになった,4,「今は新聞も少し読めるようになりました」라고 씁니다. 처음엔 한자를 못 읽었지만 지금은 읽을 수 있게 된 것입니다.
jlpt.n4.reading.0005,N4,Eメール,{山田|やまだ}さん、お{疲|つか}れさまです。{来週|らいしゅう}の{会議|かいぎ}のことでメールしました。{会議|かいぎ}の{場所|ばしょ}が、{三|さん}{階|かい}の{部屋|へや}から{一|いち}{階|かい}の{大|おお}きい{部屋|へや}に{変|か}わることになりました。{時間|じかん}は{変|か}わりませんので、ご{注意|ちゅうい}ください。{資料|しりょう}は{当日|とうじつ}こちらで{配|くば}りますので、{持|も}ってこなくても{大丈夫|だいじょうぶ}です。よろしくお{願|ねが}いします。,야마다 씨 수고 많으십니다. 다음 주 회의 건으로 메일 드립니다. 회의 장소가 3층 방에서 1층의 큰 방으로 바뀌게 되었습니다. 시간은 바뀌지 않으니 주의해 주세요. 자료는 당일 이쪽에서 나눠 드리니 가져오지 않으셔도 괜찮습니다. 잘 부탁드립니다.,{来週|らいしゅう}の{会議|かいぎ}について、{正|ただ}しいものはどれですか。,{場所|ばしょ}が{一|いち}{階|かい}の{部屋|へや}に{変|か}わる,{始|はじ}まる{時間|じかん}が{変|か}わる,{資料|しりょう}を{持|も}ってこなければならない,{会議|かいぎ}が{中止|ちゅうし}になった,1,「場所が三階の部屋から一階の大きい部屋に変わることになりました」라고 되어 있습니다. 시간은 그대로이고 자료도 가져올 필요가 없습니다.
jlpt.n4.reading.0006,N4,掲示,マンションにお{住|す}まいのみなさまへ。{今週|こんしゅう}の{土曜|どよう}{日|ひ}、{朝|あさ}{九|きゅう}{時|じ}から{昼|ひる}{十|じゅう}{二|に}{時|じ}まで、{水道|すいどう}の{工事|こうじ}があります。その{間|あいだ}は{水|みず}が{使|つか}えなくなりますので、ご{注意|ちゅうい}ください。{工事|こうじ}の{日|ひ}は{駐車|ちゅうしゃ}{場|じょう}も{使|つか}えません。{車|くるま}は{近|ちか}くの{道|みち}に{止|と}めないで、{少|すこ}し{遠|とお}い{駅前|えきまえ}の{駐車|ちゅうしゃ}{場|じょう}に{止|と}めてください。ご{協力|きょうりょく}をお{願|ねが}いします。,맨션에 거주하시는 여러분께. 이번 주 토요일 아침 9시부터 낮 12시까지 수도 공사가 있습니다. 그동안은 물을 쓸 수 없게 되니 주의해 주세요. 공사하는 날은 주차장도 쓸 수 없습니다. 차는 근처 길에 세우지 마시고 조금 먼 역 앞 주차장에 세워 주세요. 협조 부탁드립니다.,{土曜|どよう}{日|ひ}の{朝|あさ}{九|きゅう}{時|じ}から{昼|ひる}{十|じゅう}{二|に}{時|じ}まで、{何|なん}ができませんか。,{買|か}い{物|もの}をすること,{水|みず}を{使|つか}うこと,マンションに{入|はい}ること,{電気|でんき}を{使|つか}うこと,2,「その間は水が使えなくなります」라고 되어 있습니다. 공사 시간 동안 물을 쓸 수 없습니다.
jlpt.n4.reading.0007,N4,説明文,{日本|にっぽん}には「もったいない」という{言葉|ことば}がある。まだ{使|つか}える{物|もの}を{捨|す}てるときや、{食|た}べ{物|もの}を{残|のこ}すときなどに{使|つか}う。{最近|さいきん}は{外国|がいこく}でもこの{言葉|ことば}が{知|し}られるようになったそうだ。{物|もの}を{大切|たいせつ}にする{気持|きも}ちは、どこの{国|くに}の{人|ひと}にとっても{大事|だいじ}なことだと{思|おも}う。{私|わたし}も{毎日|まいにち}この{言葉|ことば}を{思|おも}い{出|だ}すようにしている。,일본에는 '못타이나이(아깝다)'라는 말이 있다. 아직 쓸 수 있는 물건을 버릴 때나 음식을 남길 때 등에 쓴다. 요즘은 외국에서도 이 말이 알려지게 되었다고 한다. 물건을 소중히 하는 마음은 어느 나라 사람에게나 중요한 것이라고 생각한다. 나도 매일 이 말을 떠올리려고 하고 있다.,「もったいない」はどんなときに{使|つか}いますか。,{新|あたら}しい{物|もの}を{買|か}うとき,{外国|がいこく}へ{旅行|りょこう}に{行|い}くとき,まだ{使|つか}える{物|もの}を{捨|す}てるとき,{日本|にっぽん}{語|ご}を{習|なら}うとき,3,「まだ使える物を捨てるときや、食べ物を残すときなどに使う」라고 설명합니다.
jlpt.n4.reading.0008,N4,予定表,これは{今度|こんど}の{日曜|にちよう}{日|ひ}の{旅行|りょこう}の{予定|よてい}です。{朝|あさ}{八|はち}{時|じ}に{駅|えき}に{集|あつ}まります。{九|きゅう}{時|じ}のバスに{乗|の}って、{十|じゅう}{一|いち}{時|じ}に{山|やま}に{着|つ}きます。{昼|ひる}ご{飯|はん}は{山|やま}の{上|うえ}で{食|た}べますので、お{弁当|べんとう}を{持|も}ってきてください。{午後|ごご}は{写真|しゃしん}を{撮|と}ったり、{川|かわ}で{遊|あそ}んだりします。{三|さん}{時|じ}のバスで{帰|かえ}ります。{雨|あめ}の{場合|ばあい}、{旅行|りょこう}は{次|つぎ}の{週|しゅう}になります。,이것은 이번 일요일 여행 일정입니다. 아침 8시에 역에 모입니다. 9시 버스를 타고 11시에 산에 도착합니다. 점심은 산 위에서 먹으니 도시락을 가져와 주세요. 오후에는 사진을 찍거나 강에서 놀거나 합니다. 3시 버스로 돌아옵니다. 비가 올 경우 여행은 다음 주로 미뤄집니다.,{昼|ひる}ご{飯|はん}はどこで{食|た}べますか。,{駅|えき},バスの{中|なか},{川|かわ}の{近|ちか}くの{店|みせ},{山|やま}の{上|うえ},4,「昼ご飯は山の上で食べます」라고 되어 있습니다.
jlpt.n4.reading.0009,N4,日記,{今日|きょう}は{友達|ともだち}と{映画|えいが}を{見|み}に{行|い}くつもりだった。{朝|あさ}から{楽|たの}しみにしていたのに、{友達|ともだち}が{急|きゅう}に{来|こ}られなくなってしまった。{仕方|しかた}がないので、{一人|ひとり}で{買|か}い{物|もの}をして{帰|かえ}った。{家|いえ}に{帰|かえ}ると、{母|はは}が「{元気|げんき}がないね」と{言|い}った。{少|すこ}しさびしかったが、{次|つぎ}はきっと{一緒|いっしょ}に{行|い}けるといいなと{思|おも}う。,오늘은 친구와 영화를 보러 갈 생각이었다. 아침부터 기대하고 있었는데 친구가 갑자기 올 수 없게 되어 버렸다. 어쩔 수 없어서 혼자 쇼핑을 하고 돌아왔다. 집에 돌아오니 엄마가 '기운이 없네'라고 했다. 조금 쓸쓸했지만 다음엔 꼭 같이 갈 수 있으면 좋겠다고 생각한다.,この{人|ひと}はどうして{一人|ひとり}で{買|か}い{物|もの}をしましたか。,{友達|ともだち}が{来|こ}られなくなったから,{映画|えいが}がつまらなかったから,{母|はは}に{買|か}い{物|もの}を{頼|たの}まれたから,お{金|かね}が{足|た}りなかったから,1,「友達が急に来られなくなってしまった」라고 나옵니다. 그래서 어쩔 수 없이 혼자 쇼핑을 한 것입니다.
jlpt.n4.reading.0010,N4,案内,さくら{公園|こうえん}でお{花見|はなみ}をしませんか。{四|よん}{月|がつ}{五|いつ}{日|か}の{土曜|どよう}{日|ひ}、みんなで{桜|さくら}を{見|み}ながらお{弁当|べんとう}を{食|た}べます。お{弁当|べんとう}はこちらで{用意|ようい}します。{参加|さんか}したい{人|ひと}は、{四|よん}{月|がつ}{一日|いちにち}までに{山田|やまだ}さんにメールしてください。{飲|の}み{物|もの}は{自分|じぶん}で{持|も}ってきてください。もし{雨|あめ}が{降|ふ}ったら、{次|つぎ}の{日曜|にちよう}{日|ひ}にします。,사쿠라 공원에서 꽃놀이를 하지 않겠어요? 4월 5일 토요일에 다 같이 벚꽃을 보며 도시락을 먹습니다. 도시락은 이쪽에서 준비합니다. 참가하고 싶은 사람은 4월 1일까지 야마다 씨에게 메일을 보내 주세요. 음료는 각자 가져와 주세요. 만약 비가 오면 다음 일요일로 합니다.,お{花見|はなみ}に{参加|さんか}したい{人|ひと}は、まず{何|なん}をしますか。,お{弁当|べんとう}を{作|つく}って{持|も}ってくる,{四|よん}{月|がつ}{一日|いちにち}までに{山田|やまだ}さんにメールする,{雨|あめ}の{日|ひ}に{公園|こうえん}へ{集|あつ}まる,{五百|ごひゃく}{円|えん}を{払|はら}う,2,「参加したい人は、四月一日までに山田さんにメールしてください」라고 되어 있습니다. 도시락은 주최 측이 준비하고 음료만 각자 가져옵니다.
