content_key,level_code,headword,reading,ruby,romaji_ko,pos,conj_type,transitivity,meaning_ko,meaning_ko_alt,example_ja,example_ko,audio_file,source,verify,note
jlpt.n2.vocab.0001,N2,老後,ろうご,{老後|ろう|ご},로오고,noun,-,-,노후,만년,{老後|ろう|ご}の{生活|せい|かつ}について{家族|か|ぞく}と{話|はな}し{合|あ}いました。,노후 생활에 대해 가족과 이야기를 나눴어요.,jlpt.n2.vocab.0001.m4a,ref_only:jfs_cando_b2+corpus_freq,draft,선정축: ①B2「自分と家族」 조부모가 남긴 글을 읽고 유지와 심정을 이해하기 / ②빈도 zipf 3.50 / 내용어 10603위(모집단 80726); Tanos교차: 전급수 목록밖 — Tanos(구시험 어휘)에 없는 현대어로 판단
jlpt.n2.vocab.0002,N2,遺産,いさん,{遺産|い|さん},이산,noun,-,-,유산,물려받은 재산,{祖父|そ|ふ}の{遺産|い|さん}を{兄弟|きょう|だい}で{分|わ}けることになりました。,할아버지의 유산을 형제끼리 나누게 되었어요.,jlpt.n2.vocab.0002.m4a,ref_only:jfs_cando_b2+corpus_freq,draft,선정축: ①B2「自分と家族」 유언장의 내용을 큰 어려움 없이 이해하기 / ②빈도 zipf 4.50 / 내용어 1865위(모집단 80726); Tanos교차: 전급수 목록밖 — Tanos(구시험 어휘)에 없는 현대어로 판단
jlpt.n2.vocab.0003,N2,批評,ひひょう,{批評|ひ|ひょう},히효오,noun,suru_noun,vt,비평,평론,この{映画|えい|が}は{新聞|しん|ぶん}で{厳|きび}しく{批評|ひ|ひょう}されました。,이 영화는 신문에서 혹독하게 비평받았어요.,jlpt.n2.vocab.0003.m4a,ref_only:jfs_cando_b2+corpus_freq,draft,선정축: ①B2「自由時間と娯楽」 평자의 독자적 시점에서 나온 비평과 견해를 이해하기 / ②빈도 zipf 3.83 / 내용어 6445위(모집단 80726); Tanos교차: N3 분류 — 우리 N3 400 미수록 잔여분을 N2로 흡수
jlpt.n2.vocab.0004,N2,書評,しょひょう,{書評|しょ|ひょう},쇼효오,noun,-,-,서평,-,{好|す}きな{作家|さっ|か}の{書評|しょ|ひょう}を{雑誌|ざっ|し}で{読|よ}みました。,좋아하는 작가의 서평을 잡지에서 읽었어요.,jlpt.n2.vocab.0004.m4a,ref_only:jfs_cando_b2+corpus_freq,draft,선정축: ①B2「自由時間と娯楽」 잡지에 실린 관심 분야 책의 서평을 읽고 이해하기 / ②빈도 zipf 3.37 / 내용어 12642위(모집단 80726); Tanos교차: N1 분류(구시험 기준) — 선정축 판단을 우선해 N2 유지
jlpt.n2.vocab.0005,N2,展開,てんかい,{展開|てん|かい},텡카이,noun,suru_noun,vi_vt,전개,펼쳐짐,{物語|もの|がたり}の{展開|てん|かい}が{予想|よ|そう}と{全|まった}く{違|ちが}いました。,이야기의 전개가 예상과 완전히 달랐어요.,jlpt.n2.vocab.0005.m4a,ref_only:jfs_cando_b2+corpus_freq,draft,선정축: ①B2「自由時間と娯楽」 드라마의 새로운 전개를 앞선 줄거리와 연결해 이야기하기 / ②빈도 zipf 5.00 / 내용어 494위(모집단 80726); Tanos교차: N2 일치
jlpt.n2.vocab.0006,N2,筋,すじ,{筋|すじ},스지,noun,-,-,줄거리,힘줄;도리,この{小説|しょう|せつ}は{筋|すじ}が{分|わ}かりやすいので{読|よ}みやすいです。,이 소설은 줄거리가 이해하기 쉬워서 읽기 편해요.,jlpt.n2.vocab.0006.m4a,ref_only:jfs_cando_b2+corpus_freq,draft,선정축: ①B2「自由時間と娯楽」 영화를 보고 이야기의 줄거리를 따라가기 / ②빈도 zipf 4.66 / 순위표 밖; Tanos교차: N3 분류 — 우리 N3 400 미수록 잔여분을 N2로 흡수
jlpt.n2.vocab.0007,N2,人物,じんぶつ,{人物|じん|ぶつ},짐부츠,noun,-,-,인물,사람됨,この{作品|さく|ひん}の{登場|とう|じょう}{人物|じん|ぶつ}はみんな{個性|こ|せい}があります。,이 작품의 등장인물은 모두 개성이 있어요.,jlpt.n2.vocab.0007.m4a,ref_only:jfs_cando_b2+corpus_freq,draft,선정축: ①B2「自由時間と娯楽」 인물상을 보여 주는 에피소드와 코멘트를 이해하기 / ②빈도 zipf 4.88 / 내용어 699위(모집단 80726); Tanos교차: N3 분류 — 우리 N3 400 미수록 잔여분을 N2로 흡수
jlpt.n2.vocab.0008,N2,描写,びょうしゃ,{描写|びょう|しゃ},뵤오샤,noun,suru_noun,vt,묘사,-,{景色|け|しき}の{描写|びょう|しゃ}がとても{美|うつく}しい{小説|しょう|せつ}です。,풍경 묘사가 아주 아름다운 소설이에요.,jlpt.n2.vocab.0008.m4a,ref_only:jfs_cando_b2+corpus_freq,draft,선정축: ①B2「自由時間と娯楽」 단편소설을 읽고 사건의 경과와 행동의 동기를 이해하기 / ②빈도 zipf 4.23 / 내용어 3222위(모집단 80726); Tanos교차: N1 분류(구시험 기준) — 선정축 판단을 우선해 N2 유지
jlpt.n2.vocab.0009,N2,葛藤,かっとう,{葛藤|かっ|とう},캇토오,noun,suru_noun,vi,갈등,번민,{主人公|しゅ|じん|こう}の{心|こころ}の{葛藤|かっ|とう}が{丁寧|てい|ねい}に{描|えが}かれています。,주인공의 마음속 갈등이 섬세하게 그려져 있어요.,jlpt.n2.vocab.0009.m4a,ref_only:jfs_cando_b2+corpus_freq,draft,선정축: ①B2「自由時間と娯楽」 등장인물이 갈등과 장벽을 어떻게 넘었는지 이해하기 / ②빈도 zipf 3.66 / 내용어 8391위(모집단 80726); Tanos교차: 전급수 목록밖 — Tanos(구시험 어휘)에 없는 현대어로 판단
jlpt.n2.vocab.0010,N2,心情,しんじょう,{心情|しん|じょう},신조오,noun,-,-,심정,마음,{登場|とう|じょう}{人物|じん|ぶつ}の{心情|しん|じょう}を{想像|そう|ぞう}しながら{読|よ}みます。,등장인물의 심정을 상상하면서 읽어요.,jlpt.n2.vocab.0010.m4a,ref_only:jfs_cando_b2+corpus_freq,draft,선정축: ①B2「自由時間と娯楽」 라디오 드라마를 듣고 인물의 심정을 이해하기 / ②빈도 zipf 3.65 / 내용어 8505위(모집단 80726); Tanos교차: N1 분류(구시험 기준) — 선정축 판단을 우선해 N2 유지
