content_key,level_code,type,script_ja,script_ko,question,choice1,choice2,choice3,choice4,answer
jlpt.n2.listening.0001,N2,課題理解,A:「{先輩|せんぱい}、{来週|らいしゅう}の{展示|てんじ}{会|かい}のブースの{件|けん}なんですが、パネルはもう{業者|ぎょうしゃ}に{発注|はっちゅう}しました。」B:「ありがとう。じゃあ{次|つぎ}は{配布|はいふ}するパンフレットね。あ、その{前|まえ}に、{当日|とうじつ}のスタッフのシフト{表|ひょう}、まだ{出来|でき}ていないでしょう。」A:「あ、はい。まだです。」B:「パンフレットの{印刷|いんさつ}は{私|わたし}が{手配|てはい}しておくから、{山田|やまだ}くんはシフト{表|ひょう}を{先|さき}に{仕上|しあ}げて、みんなに{共有|きょうゆう}してくれる?」A:「{分|わ}かりました。すぐに{取|と}りかかります。」,A: 「선배 다음 주 전시회 부스 건 말인데요 패널은 이미 업체에 발주했어요.」 B: 「고마워. 그럼 다음은 배포할 팸플릿이네. 아 그 전에 당일 스태프 근무표 아직 안 됐지?」 A: 「아 네. 아직이요.」 B: 「팸플릿 인쇄는 내가 준비해 둘 테니까 야마다 군은 근무표를 먼저 마무리해서 다들한테 공유해 줄래?」 A: 「알겠습니다. 바로 착수할게요.」,{男|おとこ}の{人|ひと}はこのあとまず{何|なん}をしますか。,シフト{表|ひょう}を{作|つく}る,パネルを{発注|はっちゅう}する,パンフレットを{印刷|いんさつ}する,{業者|ぎょうしゃ}に{連絡|れんらく}する,1
jlpt.n2.listening.0002,N2,ポイント理解,A:「{田中|たなか}さん、{今年|ことし}の{社員|しゃいん}{旅行|りょこう}、{幹事|かんじ}を{引|ひ}き{受|う}けてくれたんだって?{大変|たいへん}じゃない?」B:「まあ、{正直|しょうじき}{手間|てま}はかかりますけど。{実|じつ}は{去年|きょねん}{参加|さんか}してみて、{宿|やど}の{選|えら}び{方|かた}とか、もっとこうすればいいのにって{思|おも}うところがいくつかあって。」A:「へえ、それで{自分|じぶん}でやってみようと。」B:「そうなんです。{文句|もんく}を{言|い}うだけじゃなくて、{一|いち}{度|ど}{自分|じぶん}でやってみたくて。」A:「なるほどね。」,A: 「다나카 씨 올해 사원 여행 총무를 맡아 줬다면서? 힘들지 않아?」 B: 「뭐 솔직히 손은 가지만요. 실은 작년에 참가해 보고 숙소 고르는 법이라든가 좀 더 이렇게 하면 좋을 텐데 싶은 데가 몇 군데 있어서요.」 A: 「오 그래서 직접 해 보려고.」 B: 「맞아요. 불평만 하지 말고 한번 직접 해 보고 싶어서요.」 A: 「그렇구나.」,{女|おんな}の{人|ひと}はどうして{幹事|かんじ}を{引|ひ}き{受|う}けましたか。,{手間|てま}がかからないから,{自分|じぶん}でよりよくしたいから,{上司|じょうし}に{頼|たの}まれたから,{旅行|りょこう}が{好|す}きだから,2
jlpt.n2.listening.0003,N2,即時応答,A:「この{企画|きかく}、{正直|しょうじき}、{今|いま}のままだと{通|とお}らないと{思|おも}うよ。」,A: 「이 기획 솔직히 지금 이대로면 통과 안 될 것 같아.」,{何|なん}と{答|こた}えますか。,ええ、おかげさまで{好評|こうひょう}でした。,いいえ、まだ{企画|きかく}{書|しょ}は{出|だ}していません。,そうですか。では、もう{一|いち}{度|ど}{練|ね}り{直|なお}してみます。,-,3
jlpt.n2.listening.0004,N2,課題理解,A:「もしもし、{明日|あした}の{会議|かいぎ}{室|しつ}の{予約|よやく}の{件|けん}で{確認|かくにん}したいんですが。」B:「はい、{第|だい}{一|いち}{会議|かいぎ}{室|しつ}を{午後|ごご}{二|に}{時|じ}からですね。」A:「そうです。あ、それと、{参加|さんか}{者|しゃ}が{二人|ふたり}{増|ふ}えて{十|じゅう}{人|にん}になりそうなんですが、あの{部屋|へや}で{大丈夫|だいじょうぶ}でしょうか。」B:「{十|じゅう}{人|にん}ですと、{第|だい}{一|いち}{会議|かいぎ}{室|しつ}は{少|すこ}し{狭|せま}いですね。それでしたら、{第|だい}{三|さん}{会議|かいぎ}{室|しつ}のほうが{広|ひろ}いので、そちらに{変更|へんこう}しておきましょうか。」A:「{助|たす}かります。じゃあ、お{願|ねが}いします。」B:「かしこまりました。{時間|じかん}はそのままで、{部屋|へや}だけ{変|か}えておきますね。」,A: 「여보세요 내일 회의실 예약 건으로 확인하고 싶은데요.」 B: 「네 제1회의실을 오후 두 시부터죠.」 A: 「맞아요. 아 그리고 참가자가 두 명 늘어서 열 명이 될 것 같은데 그 방으로 괜찮을까요?」 B: 「열 명이시면 제1회의실은 좀 좁네요. 그러시면 제3회의실이 더 넓으니까 그쪽으로 변경해 둘까요?」 A: 「도움이 되네요. 그럼 부탁드릴게요.」 B: 「알겠습니다. 시간은 그대로 두고 방만 바꿔 둘게요.」,{女|おんな}の{人|ひと}はこのあと{何|なん}をしますか。,{会議|かいぎ}の{時間|じかん}を{変|か}える,{参加|さんか}{者|しゃ}を{二人|ふたり}{減|へ}らす,{予約|よやく}を{取|と}り{消|け}す,{会議|かいぎ}{室|しつ}を{第|だい}{三|さん}に{変|か}える,4
jlpt.n2.listening.0005,N2,ポイント理解,A:「{山下|やました}さん、{新|あたら}しいスマホに{変|か}えたんだ。それ、{最新|さいしん}のやつでしょ?」B:「そうなんですけど、{実|じつ}は{前|まえ}のが{急|きゅう}に{動|うご}かなくなっちゃって。」A:「え、まだ{買|か}って{一|いち}{年|ねん}くらいじゃなかった?」B:「そうなんですよ。{修理|しゅうり}に{出|だ}すと{結構|けっこう}{高|たか}くつくって{言|い}われて、それなら{思|おも}い{切|き}って{買|か}い{替|か}えようかなと。」A:「そういうことか。」,A: 「야마시타 씨 새 스마트폰으로 바꿨네. 그거 최신 거지?」 B: 「그렇긴 한데 실은 전 게 갑자기 안 돼서요.」 A: 「어 아직 산 지 일 년쯤밖에 안 됐잖아?」 B: 「그러니까요. 수리 맡기면 꽤 비싸게 든다고 해서 그럴 바엔 큰맘 먹고 바꿀까 하고요.」 A: 「그런 거구나.」,{女|おんな}の{人|ひと}はどうしてスマホを{買|か}い{替|か}えましたか。,{前|まえ}のが{動|うご}かなくなったから,{最新|さいしん}のものが{欲|ほ}しかったから,{一|いち}{年|ねん}たったから,{色|いろ}が{気|き}に{入|はい}らなかったから,1
jlpt.n2.listening.0006,N2,即時応答,A:「{悪|わる}いんだけど、この{資料|しりょう}のチェック、{君|きみ}に{任|まか}せてもいいかな。」,A: 「미안한데 이 자료 체크 자네한테 맡겨도 될까?」,{何|なん}と{答|こた}えますか。,いいえ、こちらこそ。,はい、{昨日|きのう}いただきました。,ええ、お{任|まか}せください。,-,3
jlpt.n2.listening.0007,N2,課題理解,A:「{先生|せんせい}、レポートの{提出|ていしゅつ}なんですが、{締|し}め{切|き}りは{今週|こんしゅう}の{金曜|きんよう}{日|ひ}でしたよね。」B:「ええ。でも、{来週|らいしゅう}テストがあって{大変|たいへん}でしょう。{希望|きぼう}する{人|ひと}は{月曜|げつよう}まで{延|の}ばしてもいいことにしました。」A:「{本当|ほんとう}ですか。じゃあ、{月曜|げつよう}に{出|だ}しても{大丈夫|だいじょうぶ}ですか。」B:「ええ。ただ、{延|の}ばす{人|ひと}は{今日|きょう}{中|ちゅう}にメールで{一言|ひとこと}{知|し}らせてね。{何|なん}も{連絡|れんらく}がなければ、{金曜|きんよう}{締|し}め{切|き}りのままですから。」A:「{分|わ}かりました。じゃあ、あとでメールします。」,A: 「선생님 리포트 제출 말인데요 마감은 이번 주 금요일이었죠.」 B: 「네. 근데 다음 주에 시험이 있어서 힘들잖아요. 원하는 사람은 월요일까지 미뤄도 되는 걸로 했어요.」 A: 「정말요? 그럼 월요일에 내도 괜찮은가요?」 B: 「네. 다만 미루는 사람은 오늘 안에 메일로 한마디 알려 줘요. 아무 연락이 없으면 금요일 마감 그대로니까요.」 A: 「알겠습니다. 그럼 나중에 메일할게요.」,{学生|がくせい}はこのあとまず{何|なん}をしますか。,レポートを{金曜|きんよう}に{出|だ}す,テストの{勉強|べんきょう}をする,{先生|せんせい}にメールする,{締|し}め{切|き}りを{確認|かくにん}する,3
jlpt.n2.listening.0008,N2,ポイント理解,A:「{今度|こんど}のプロジェクト、{鈴木|すずき}さんがリーダーになったんだって。」B:「そうなんです。{私|わたし}も{驚|おどろ}いたんですけど。」A:「{経験|けいけん}も{十分|じゅうぶん}だし、{適任|てきにん}だと{思|おも}うよ。」B:「ありがとうございます。ただ、{私|わたし}が{選|えら}ばれたのは、たまたま{今|いま}、{大|おお}きな{仕事|しごと}を{抱|かか}えていない{人|ひと}が{私|わたし}だけだったからみたいで。」A:「まあ、きっかけはどうあれ、{頑張|がんば}ってよ。」,A: 「이번 프로젝트 스즈키 씨가 리더가 됐다면서.」 B: 「맞아요. 저도 놀랐는데요.」 A: 「경험도 충분하고 적임이라고 생각해.」 B: 「감사합니다. 다만 제가 뽑힌 건 마침 지금 큰일을 안 맡고 있는 사람이 저뿐이었기 때문인 것 같아서요.」 A: 「뭐 계기야 어떻든 힘내.」,{女|おんな}の{人|ひと}はどうしてリーダーに{選|えら}ばれたと{言|い}っていますか。,{経験|けいけん}が{十分|じゅうぶん}だから,{自分|じぶん}から{希望|きぼう}したから,{上司|じょうし}に{気|き}に{入|はい}られているから,ほかに{手|て}が{空|あ}いている{人|ひと}がいなかったから,4
jlpt.n2.listening.0009,N2,即時応答,A:「この{時間|じかん}まで{残|のこ}ってもらって{悪|わる}いね。あとは{私|わたし}がやっておくから。」,A: 「이 시간까지 남게 해서 미안해. 나머지는 내가 해 둘 테니까.」,{何|なん}と{答|こた}えますか。,いいえ、まだ{来|き}ていません。,はい、こちらこそ。,では、お{言葉|ことば}に{甘|あま}えて{先|さき}に{失礼|しつれい}します。,-,3
jlpt.n2.listening.0010,N2,課題理解,A:「ねえ、{週末|しゅうまつ}のバーベキュー、{僕|ぼく}は{何|なん}を{準備|じゅんび}すればいい?」B:「えーと……。{飲|の}み{物|もの}と{紙皿|かみざら}は{私|わたし}がまとめて{買|か}っておくから、あなたは{肉|にく}と{野菜|やさい}をお{願|ねが}いできる?」A:「{了解|りょうかい}。じゃあ、スーパーで{買|か}っていくよ。」B:「あ、ごめん。{肉|にく}はお{父|ちち}さんが{釣|つ}りの{帰|かえ}りに{寄|よ}って{買|か}ってきてくれるって。だから{野菜|やさい}だけでいいや。あと{炭|すみ}がもうないから、それもお{願|ねが}い。」A:「{分|わ}かった。じゃあ、そっちを{用意|ようい}するね。」,A: 「있잖아 주말 바비큐 나는 뭘 준비하면 돼?」 B: 「음……. 음료랑 종이접시는 내가 한꺼번에 사 둘 테니까 너는 고기랑 채소를 부탁해도 될까?」 A: 「알겠어. 그럼 슈퍼에서 사 갈게.」 B: 「아 미안. 고기는 아빠가 낚시 다녀오는 길에 들러서 사 온대. 그러니까 채소만 있으면 돼. 그리고 숯이 이제 없으니까 그것도 부탁해.」 A: 「알겠어. 그럼 그쪽을 준비할게.」,{男|おとこ}の{人|ひと}は{何|なん}を{準備|じゅんび}しますか。,{飲|の}み{物|もの}と{紙皿|かみざら},{野菜|やさい}と{炭|すみ},{肉|にく}と{野菜|やさい},{肉|にく}と{炭|すみ},2
