content_key,level_code,type,script_ja,script_ko,question,choice1,choice2,choice3,choice4,answer
jlpt.n4.listening.0001,N4,課題理解,A:「{明日|あした}の{登山|とざん}の{準備|じゅんび}、もうできましたか。」B:「はい。お{弁当|べんとう}とお{茶|ちゃ}はわたしが{持|も}っていきます。」A:「ありがとう。じゃあ、{僕|ぼく}は{地図|ちず}とカメラを{持|も}っていきますね。」B:「あ、{地図|ちず}はスマホにありますから、いりませんよ。カメラだけおねがいします。」A:「わかりました。」,A: 「내일 등산 준비 벌써 다 됐어요?」 B: 「네. 도시락과 차는 제가 가져갈게요.」 A: 「고마워요. 그럼 저는 지도와 카메라를 가져갈게요.」 B: 「아 지도는 스마트폰에 있으니까 필요 없어요. 카메라만 부탁해요.」 A: 「알겠습니다.」,{男|おとこ}の{人|ひと}は{何|なん}を{持|も}っていきますか。,カメラ,{地図|ちず}とカメラ,お{弁当|べんとう},お{茶|ちゃ},1
jlpt.n4.listening.0002,N4,ポイント理解,A:「{土曜|どよう}{日|ひ}のコンサート、{何時|いつ}からでしたっけ。」B:「{夜|よる}の{七|なな}{時|じ}からですよ。でも、{人|ひと}が{多|おお}いから{早|はや}めに{行|おこな}ったほうがいいと{思|おも}います。」A:「そうですね。じゃあ、{六|ろく}{時|じ}に{駅|えき}で{会|あ}いましょうか。」B:「わたし、{仕事|しごと}が{五|ご}{時|じ}{半|はん}に{終|お}わるので、{六|ろく}{時|じ}{半|はん}のほうがありがたいです。」A:「わかりました。{六|ろく}{時|じ}{半|はん}にしましょう。」,A: 「토요일 콘서트 몇 시부터였죠?」 B: 「밤 7시부터예요. 그런데 사람이 많으니까 좀 일찍 가는 게 좋을 것 같아요.」 A: 「그러네요. 그럼 6시에 역에서 만날까요?」 B: 「저는 일이 5시 반에 끝나서 6시 반이 더 좋아요.」 A: 「알겠어요. 6시 반으로 해요.」,{二人|ふたり}は{何|なん}{時|じ}に{駅|えき}で{会|あ}いますか。,{六|ろく}{時|じ},{六|ろく}{時|じ}{半|はん},{七|なな}{時|じ},{五|ご}{時|じ}{半|はん},2
jlpt.n4.listening.0003,N4,即時応答,A:「{今日|きょう}はずいぶん{冷|ひ}えますね。」,A: 「오늘은 꽤 쌀쌀하네요.」,{何|なん}と{答|こた}えますか。,いいえ、{冷蔵|れいぞう}{庫|こ}です。,はい、{夏|なつ}がすきです。,{本当|ほんとう}に。コートを{着|き}てくればよかったです。,-,3
jlpt.n4.listening.0004,N4,課題理解,A:「{先生|せんせい}、レポートはいつまでに{出|だ}せばいいですか。」B:「{来週|らいしゅう}の{月曜|げつよう}{日|ひ}までです。メールで{送|おく}ってくださいね。」A:「わかりました。{紙|かみ}で{出|だ}してもいいですか。」B:「いいえ、{今回|こんかい}はメールだけです。{紙|かみ}はいりません。」A:「はい、メールで{送|おく}ります。」,A: 「선생님 리포트는 언제까지 내면 되나요?」 B: 「다음 주 월요일까지예요. 메일로 보내 주세요.」 A: 「알겠습니다. 종이로 내도 되나요?」 B: 「아니요 이번에는 메일만이에요. 종이는 필요 없어요.」 A: 「네 메일로 보낼게요.」,{学生|がくせい}はレポートをどうやって{出|だ}しますか。,{先生|せんせい}に{渡|わた}す,{紙|かみ}で{出|だ}す,{教室|きょうしつ}に{置|お}く,メールで{送|おく}る,4
jlpt.n4.listening.0005,N4,ポイント理解,A:「{山田|やまだ}さん、{昨日|きのう}の{会議|かいぎ}に{来|き}ませんでしたね。どうしたんですか。」B:「すみません。{子|こ}どもが{急|きゅう}に{熱|ねつ}を{出|だ}して、{病院|びょういん}へ{連|つ}れていったんです。」A:「それは{大変|たいへん}でしたね。お{子|こ}さんはもう{大丈夫|だいじょうぶ}ですか。」B:「はい、{薬|くすり}を{飲|の}んで、{今朝|けさ}は{元気|げんき}になりました。」,A: 「야마다 씨 어제 회의에 안 왔네요. 무슨 일 있었어요?」 B: 「죄송해요. 아이가 갑자기 열이 나서 병원에 데려갔어요.」 A: 「그거 힘들었겠네요. 아이는 이제 괜찮아요?」 B: 「네 약을 먹고 오늘 아침에는 건강해졌어요.」,{山田|やまだ}さんはどうして{会議|かいぎ}に{来|き}ませんでしたか。,{子|こ}どもが{病気|びょうき}になったから,{自分|じぶん}が{熱|ねつ}を{出|だ}したから,{仕事|しごと}が{忙|いそが}しかったから,{電車|でんしゃ}が{止|と}まったから,1
jlpt.n4.listening.0006,N4,即時応答,A:「あれ、{田中|たなか}さんもう{帰|かえ}っちゃったの。」,A: 「어라 다나카 씨 벌써 갔어?」,{何|なん}と{答|こた}えますか。,いいえ、{寒|さむ}いからです。,はい、{田中|たなか}さんです。,うん、さっき{出|で}ていったよ。,-,3
jlpt.n4.listening.0007,N4,課題理解,A:「{金曜|きんよう}{日|ひ}のパーティー、{何|なん}か{手伝|てつだ}えることはありますか。」B:「そうですね……。{飲|の}み{物|もの}とお{皿|さら}はもう{買|か}ってあります。」A:「じゃあ、ケーキを{買|か}っていきましょうか。」B:「ケーキはわたしが{作|つく}るので、{大丈夫|だいじょうぶ}です。それより、いすが{足|た}りないので、{借|か}りてきてもらえますか。」A:「わかりました。いすを{持|も}っていきます。」,A: 「금요일 파티 뭔가 도울 일 있어요?」 B: 「글쎄요……. 음료와 접시는 벌써 사 뒀어요.」 A: 「그럼 케이크를 사 갈까요?」 B: 「케이크는 제가 만드니까 괜찮아요. 그것보다 의자가 부족하니까 빌려다 줄 수 있어요?」 A: 「알겠어요. 의자를 가져갈게요.」,{男|おとこ}の{人|ひと}はパーティーに{何|なん}を{持|も}っていきますか。,ケーキ,{飲|の}み{物|もの},いす,お{皿|さら},3
jlpt.n4.listening.0008,N4,ポイント理解,A:「{日曜|にちよう}{日|ひ}の{食事|しょくじ}{会|かい}、{駅前|えきまえ}のレストランでいいですか。」B:「あそこ、この{前|まえ}{行|い}ったらとても{混|こ}んでいましたよ。{予約|よやく}もできなかったんです。」A:「そうですか。じゃあ、{公園|こうえん}の{近|ちか}くのお{店|みせ}はどうですか。」B:「あ、そこはこの{間|かん}{予約|よやく}しておきました。{静|しず}かでいいですよ。」A:「よかった。じゃあ、そこにしましょう。」,A: 「일요일 식사 모임 역 앞 레스토랑으로 괜찮아요?」 B: 「거기 지난번에 갔더니 아주 붐볐어요. 예약도 못 했어요.」 A: 「그래요? 그럼 공원 근처 가게는 어때요?」 B: 「아 거기는 요전에 예약해 뒀어요. 조용하고 좋아요.」 A: 「잘됐다. 그럼 거기로 해요.」,{二人|ふたり}はどこで{食事|しょくじ}をしますか。,{駅前|えきまえ}のレストラン,{山田|やまだ}さんの{家|いえ},{会社|かいしゃ}の{食堂|しょくどう},{公園|こうえん}の{近|ちか}くのお{店|みせ},4
jlpt.n4.listening.0009,N4,即時応答,A:「すみません、{少|すこ}し{道|みち}を{聞|き}いてもいいですか。」,A: 「저기요 길 좀 물어봐도 될까요?」,{何|なん}と{答|こた}えますか。,いいえ、{道|みち}です。,どういたしまして。,はい、どこへ{行|い}きたいんですか。,-,3
jlpt.n4.listening.0010,N4,課題理解,A:「{先生|せんせい}、{明日|あした}のテストに{何|なん}を{持|も}ってきたらいいですか。」B:「えーと……。えんぴつと{消|け}しゴムを{持|も}ってきてください。{辞書|じしょ}は{使|つか}ってはいけませんよ。」A:「{時計|とけい}はどうですか。」B:「{教室|きょうしつ}に{時計|とけい}がありますから、いりません。」A:「わかりました。」,A: 「선생님 내일 시험에 무엇을 가져오면 되나요?」 B: 「음……. 연필과 지우개를 가져오세요. 사전은 쓰면 안 돼요.」 A: 「시계는요?」 B: 「교실에 시계가 있으니까 필요 없어요.」 A: 「알겠습니다.」,{学生|がくせい}は{明日|あした}{何|なん}を{持|も}っていきますか。,{辞書|じしょ},えんぴつと{消|け}しゴム,{時計|とけい},{教科|きょうか}{書|しょ},2
