content_key,level_code,type,script_ja,script_ko,question,choice1,choice2,choice3,choice4,answer
jlpt.n1.listening.0001,N1,課題理解,A:「{部|ぶ}{長|ちょう}、{来月|らいげつ}の{株主|かぶぬし}{総会|そうかい}の{資料|しりょう}の{件|けん}ですが、グラフの{差|さ}し{替|か}えは{済|す}ませました。」B:「ありがとう。じゃあ{次|つぎ}は{当日|とうじつ}の{想定|そうてい}{問答|もんどう}{集|しゅう}ね。あ、その{前|まえ}に、{役員|やくいん}に{配|くば}る{座席|ざせき}{表|ひょう}、まだ{手|て}をつけていないでしょう。」A:「あ、はい。まだです。」B:「{想定|そうてい}{問答|もんどう}{集|しゅう}の{取|と}りまとめは{私|わたし}のほうでやっておくから、あなたは{座席|ざせき}{表|ひょう}を{先|さき}に{仕上|しあ}げて、{総務|そうむ}に{回|まわ}してくれる?」A:「{承知|しょうち}しました。{早速|さっそく}{取|と}りかかります。」,A: 「부장님 다음 달 주주총회 자료 건인데요 그래프 교체는 끝냈습니다.」 B: 「고마워. 그럼 다음은 당일 예상 문답집이네. 아 그 전에 임원에게 나눠 줄 좌석표 아직 손 안 댔지.」 A: 「아 네. 아직이요.」 B: 「예상 문답집 정리는 내가 해 둘 테니까 자네는 좌석표를 먼저 마무리해서 총무에 넘겨 줄래?」 A: 「알겠습니다. 바로 착수하겠습니다.」,{男|おとこ}の{人|ひと}はこのあとまず{何|なん}をしますか。,{座席|ざせき}{表|ひょう}を{仕上|しあ}げる,グラフを{差|さ}し{替|か}える,{想定|そうてい}{問答|もんどう}{集|しゅう}をまとめる,{総務|そうむ}に{問|と}い{合|あ}わせる,1
jlpt.n1.listening.0002,N1,ポイント理解,A:「{中村|なかむら}さん、{本社|ほんしゃ}への{異動|いどう}の{話|はなし}、{断|ことわ}ったんだって?せっかくの{昇進|しょうしん}のチャンスなのに。」B:「ええ、{正直|しょうじき}{迷|まよ}ったんですけどね。{今|いま}の{部署|ぶしょ}でようやく{後輩|こうはい}も{育|そだ}ってきて、{任|まか}せている{企画|きかく}がちょうど{大詰|おおづ}めなんです。」A:「へえ、それを{途中|とちゅう}で{放|ほう}り{出|だ}すのは、ということか。」B:「そうなんです。{地位|ちい}よりも、やりかけの{仕事|しごと}を{最後|さいご}まで{見届|みとど}けたくて。」A:「なるほどね。」,A: 「나카무라 씨 본사 이동 얘기 거절했다면서? 모처럼의 승진 기회인데.」 B: 「네 솔직히 망설였지만요. 지금 부서에서 겨우 후배도 자라기 시작했고 맡고 있는 기획이 마침 막바지라서요.」 A: 「오 그걸 도중에 내팽개치는 건 좀 그렇다는 거구나.」 B: 「맞아요. 지위보다도 하던 일을 끝까지 지켜보고 싶어서요.」 A: 「그렇구나.」,{女|おんな}の{人|ひと}はどうして{異動|いどう}を{断|ことわ}りましたか。,{昇進|しょうしん}に{興味|きょうみ}がないから,{今|いま}の{仕事|しごと}を{最後|さいご}までやり{遂|と}げたいから,{後輩|こうはい}と{離|はな}れたくないから,{本社|ほんしゃ}が{遠|とお}いから,2
jlpt.n1.listening.0003,N1,即時応答,A:「{今回|こんかい}の{企画|きかく}、{彼|かれ}に{任|まか}せるには、いささか{荷|に}が{重|おも}いんじゃないかな。」,A: 「이번 기획 그에게 맡기기엔 다소 벅차지 않을까.」,{何|なん}と{答|こた}えますか。,ええ、{彼|かれ}なら{安心|あんしん}して{任|まか}せられますね。,はい、{荷物|にもつ}はもう{運|はこ}び{終|お}えました。,そうですね、もう{少|すこ}し{経験|けいけん}を{積|つ}ませてからのほうが。,-,3
jlpt.n1.listening.0004,N1,課題理解,A:「{先輩|せんぱい}、{来週|らいしゅう}の{内覧|ないらん}{会|かい}の{準備|じゅんび}ですが、{招待|しょうたい}{状|じょう}の{発送|はっそう}は{今日|きょう}{中|ちゅう}に{終|お}わります。」B:「{助|たす}かる。じゃあ{次|つぎ}は{会場|かいじょう}のレイアウト{図|ず}ね。あ、でもその{前|まえ}に、プレス{向|む}けの{資料|しりょう}、まだ{校正|こうせい}が{済|す}んでいないでしょう。」A:「あ、はい。まだ{手|て}をつけていません。」B:「レイアウト{図|ず}は{私|わたし}が{引|ひ}くから、{山田|やまだ}くんはプレス{資料|しりょう}の{校正|こうせい}を{先|さき}に{片付|かたづ}けて、{広報|こうほう}に{渡|わた}してくれる?」A:「{分|わ}かりました。すぐに{取|と}りかかります。」,A: 「선배 다음 주 내람회 준비 말인데요 초대장 발송은 오늘 안에 끝납니다.」 B: 「고마워. 그럼 다음은 회장 레이아웃 도면이네. 아 근데 그 전에 프레스용 자료 아직 교정이 안 끝났지.」 A: 「아 네. 아직 손 안 댔어요.」 B: 「레이아웃 도면은 내가 그릴 테니까 야마다 군은 프레스 자료 교정을 먼저 끝내서 홍보에 넘겨 줄래?」 A: 「알겠습니다. 바로 착수하겠습니다.」,{男|おとこ}の{人|ひと}はこのあとまず{何|なん}をしますか。,{招待|しょうたい}{状|じょう}を{発送|はっそう}する,レイアウト{図|ず}を{引|ひ}く,{広報|こうほう}に{問|と}い{合|あ}わせる,プレス{資料|しりょう}を{校正|こうせい}する,4
jlpt.n1.listening.0005,N1,ポイント理解,A:「{木村|きむら}さん、あの{人気|にんき}の{物件|ぶっけん}、{内見|ないけん}までしたのに{見送|みおく}ったんだって?」B:「ええ。{日当|ひあ}たりも{間取|まど}りも{申|もう}し{分|ぶん}なかったんですけどね。」A:「え、それなのにどうして?」B:「{実|じつ}は、{内見|ないけん}の{帰|かえ}りに{周辺|しゅうへん}を{歩|ある}いてみたら、{夜道|よみち}の{街灯|がいとう}がやけに{少|すく}なくて。{女性|じょせい}の{一人暮|ひとりぐ}らしだと、そこがどうしても{引|ひ}っかかって。」A:「ああ、なるほどね。」,A: 「기무라 씨 그 인기 있는 매물 내부까지 봤는데 포기했다면서?」 B: 「네. 채광도 방 구조도 나무랄 데 없었지만요.」 A: 「어 그런데도 왜?」 B: 「실은 집을 보고 오는 길에 주변을 걸어 봤더니 밤길 가로등이 유난히 적어서요. 여자 혼자 살기엔 그게 아무래도 걸려서요.」 A: 「아 그렇구나.」,{女|おんな}の{人|ひと}はどうして{物件|ぶっけん}を{見送|みおく}りましたか。,{夜道|よみち}が{暗く|くらく}て{不安|ふあん}だったから,{間取|まど}りが{気|き}に{入|はい}らなかったから,{家賃|やちん}が{高|たか}かったから,{日当|ひあ}たりが{悪|わる}かったから,1
jlpt.n1.listening.0006,N1,即時応答,A:「{課長|かちょう}、{恐|おそ}れ{入|い}りますが、この{見積|みつ}もり、もう{少|すこ}し{何|なん}とかならないものでしょうか。」,A: 「과장님 죄송하지만 이 견적 좀 더 어떻게 안 될까요.」,{何|なん}と{答|こた}えますか。,いいえ、{見積|みつ}もりはまだ{出|だ}しておりません。,ええ、おかげさまで{好評|こうひょう}でした。,そうだね、{上|うえ}と{掛|か}け{合|あ}ってはみるが、あまり{期待|きたい}しないでほしい。,-,3
jlpt.n1.listening.0007,N1,課題理解,A:「{先生|せんせい}、{来週|らいしゅう}の{発表|はっぴょう}なんですが、{僕|ぼく}の{順番|じゅんばん}は{最後|さいご}でしたよね。」B:「ええ。でも、{急|きゅう}な{話|はなし}で{申|もう}し{訳|わけ}ないんだけど、{一|いち}{組|くみ}が{都合|つごう}で{辞退|じたい}してね。{希望|きぼう}する{人|ひと}に、トップバッターを{引|ひ}き{受|う}けてもらえないかと{思|おも}って。」A:「え、{僕|ぼく}がですか。」B:「もちろん{強制|きょうせい}じゃないの。ただ、{引|ひ}き{受|う}けてくれるなら{順番|じゅんばん}を{組|く}み{直|なお}すから、{今日|きょう}{中|ちゅう}に{一言|ひとこと}メールをちょうだいね。」A:「{分|わ}かりました。じゃあ、お{引|ひ}き{受|う}けします。{早速|さっそく}メールしておきます。」,A: 「선생님 다음 주 발표 말인데요 제 순서는 맨 마지막이었죠.」 B: 「네. 근데 갑작스러워서 미안한데 한 조가 사정으로 사퇴했어요. 원하는 사람이 첫 번째 발표를 맡아 줄 수 없을까 해서요.」 A: 「어 제가요?」 B: 「물론 강제는 아니에요. 다만 맡아 주면 순서를 다시 짜야 하니까 오늘 안에 한마디 메일 줘요.」 A: 「알겠습니다. 그럼 맡을게요. 바로 메일 드리겠습니다.」,{学生|がくせい}はこのあとまず{何|なん}をしますか。,{最後|さいご}に{発表|はっぴょう}する,{発表|はっぴょう}を{辞退|じたい}する,{先生|せんせい}にメールする,ほかの{人|ひと}と{順番|じゅんばん}を{代|か}わる,3
jlpt.n1.listening.0008,N1,ポイント理解,A:「{今度|こんど}の{社内|しゃない}{表彰|ひょうしょう}、{田中|たなか}さんのチームが{選|えら}ばれたんだってね。おめでとう。」B:「ありがとうございます。でも、{正直|しょうじき}{複雑|ふくざつ}なんです。」A:「え、どうして?{栄誉|えいよ}あることじゃないか。」B:「{数字|すうじ}の{上|うえ}では{一|いち}{番|ばん}でしたけど、それって、たまたま{大口|おおぐち}の{取引|とりひき}{先|さき}に{恵|めぐ}まれただけで。{地道|じみち}に{積|つ}み{上|あ}げた{他|ほか}のチームのほうが、よっぽど{評価|ひょうか}されるべきだと{思|おも}うんです。」A:「なるほど、そういう{思|おも}いがあるのか。」,A: 「이번 사내 표창 다나카 씨 팀이 뽑혔다면서. 축하해.」 B: 「감사합니다. 근데 솔직히 복잡해요.」 A: 「어 왜? 영예로운 일이잖아.」 B: 「숫자상으로는 1등이었지만 그건 어쩌다 큰 거래처를 만난 덕분일 뿐이라서요. 꾸준히 쌓아 올린 다른 팀이 훨씬 더 평가받아야 한다고 생각해요.」 A: 「그렇구나 그런 마음이 있었구나.」,{女|おんな}の{人|ひと}はどうして{複雑|ふくざつ}な{気持|きも}ちだと{言|い}っていますか。,{表彰|ひょうしょう}されるのが{恥|は}ずかしいから,{賞金|しょうきん}が{少|すく}なかったから,チームの{仲|なか}が{悪|わる}いから,{自分|じぶん}たちの{実力|じつりょく}で{取|と}った{結果|けっか}ではないと{感|かん}じているから,4
jlpt.n1.listening.0009,N1,即時応答,A:「{悪|わる}いけど、この{後|あと}の{打|う}ち{合|あ}わせ、{私|わたし}の{代|か}わりに{出|で}てもらえると{助|たす}かるんだが。」,A: 「미안한데 이따 회의 나 대신 나가 주면 고맙겠는데.」,{何|なん}と{答|こた}えますか。,では、お{言葉|ことば}に{甘|あま}えて{先|さき}に{失礼|しつれい}します。,いいえ、まだ{始|はじ}まっておりません。,{承知|しょうち}しました。すぐに{資料|しりょう}に{目|め}を{通|とお}しておきます。,-,3
jlpt.n1.listening.0010,N1,課題理解,A:「ねえ、{来月|らいげつ}の{同窓|どうそう}{会|かい}の{幹事|かんじ}の{件|けん}だけど、{僕|ぼく}は{何|なん}を{手伝|てつだ}えばいい?」B:「えーと……。{会場|かいじょう}の{予約|よやく}と{参加|さんか}{者|しゃ}への{連絡|れんらく}は{私|わたし}がまとめてやるから、あなたは{当日|とうじつ}の{余興|よきょう}を{考|かんが}えてもらえる?」A:「{了解|りょうかい}。じゃあ、ビンゴでも{用意|ようい}しようかな。」B:「あ、ごめん。{余興|よきょう}は{先生|せんせい}がスピーチをしてくださるって。だからそっちはいいや。{代|か}わりに、みんなから{集|あつ}める{会費|かいひ}の{管理|かんり}をお{願|ねが}いできる?」A:「{分|わ}かった。じゃあ、そっちを{引|ひ}き{受|う}けるよ。」,A: 「있잖아 다음 달 동창회 총무 건인데 나는 뭘 도우면 돼?」 B: 「음……. 회장 예약이랑 참가자 연락은 내가 한꺼번에 할 테니까 너는 당일 여흥을 생각해 줄래?」 A: 「알겠어. 그럼 빙고라도 준비할까.」 B: 「아 미안. 여흥은 선생님이 스피치를 해 주신대. 그러니까 그쪽은 됐어. 대신에 다들한테서 걷는 회비 관리를 부탁해도 될까?」 A: 「알겠어. 그럼 그쪽을 맡을게.」,{男|おとこ}の{人|ひと}は{何|なん}を{担当|たんとう}しますか。,{会場|かいじょう}の{予約|よやく},{会費|かいひ}の{管理|かんり},{当日|とうじつ}の{余興|よきょう},{参加|さんか}{者|しゃ}への{連絡|れんらく},2
