content_key,level_code,genre,passage_ja,passage_ko,question,choice1,choice2,choice3,choice4,answer,explanation_ko
jlpt.n5.reading.0001,N5,日記,きのう、{私|わたし}は{友達|とも|だち}と{町|まち}へ{行|い}きました。{昼|ひる}ご{飯|はん}はレストランで{食|た}べました。{私|わたし}は{魚|さかな}を{食|た}べて、{友達|とも|だち}はにくを{食|た}べました。とてもおいしかったです。{午後|ご|ご}は{二人|ふたり}で{映画|えい|が}を{見|み}ました。とても{楽|たの}しかったです。,어제 저는 친구와 시내에 갔습니다. 점심은 레스토랑에서 먹었습니다. 저는 생선을 먹고 친구는 고기를 먹었습니다. 아주 맛있었습니다. 오후에는 둘이서 영화를 봤습니다. 아주 즐거웠습니다.,この{人|ひと}は{昼|ひる}ご{飯|はん}に{何|なに}を{食|た}べましたか。,{魚|さかな},にく,パン,ごはん,1,본문에 「私は魚を食べて」라고 나옵니다. 고기(にく)는 친구가 먹은 것입니다.
jlpt.n5.reading.0002,N5,案内,あした、クラスでパーティーをします。{時間|じ|かん}は{午後|ご|ご}{六|ろく}{時|じ}から{八|はち}{時|じ}までです。{場所|ば|しょ}は{教室|きょう|しつ}です。{飲|の}み{物|もの}は{学校|がっ|こう}にありますから、{食|た}べ{物|もの}を{持|も}ってきてください。,내일 반에서 파티를 합니다. 시간은 오후 6시부터 8시까지입니다. 장소는 교실입니다. 마실 것은 학교에 있으니 먹을 것을 가져와 주세요.,パーティーは{何|なん}{時|じ}からはじまりますか。,{午後|ご|ご}{六|ろく}{時|じ},{午後|ご|ご}{八|はち}{時|じ},{午前|ご|ぜん}{六|ろく}{時|じ},{午前|ご|ぜん}{八|はち}{時|じ},1,안내문에 「午後六時から八時まで」라고 되어 있습니다. 시작은 오후 6시입니다.
jlpt.n5.reading.0003,N5,メモ,けんちゃんへ。{今日|きょう}、お{母|かあ}さんは{仕事|し|ごと}でおそくなります。テーブルの{上|うえ}にケーキがありますから、{食|た}べてください。{宿題|しゅく|だい}をしてから、テレビを{見|み}てくださいね。,겐 짱에게. 오늘 엄마는 일 때문에 늦어집니다. 테이블 위에 케이크가 있으니 먹으세요. 숙제를 하고 나서 텔레비전을 보세요.,けんちゃんは{何|なに}をしてからテレビを{見|み}ますか。,{宿題|しゅく|だい},{仕事|し|ごと},{買|か}い{物|もの},そうじ,1,메모에 「宿題をしてから、テレビを見てください」라고 쓰여 있습니다. 숙제를 먼저 해야 합니다.
jlpt.n5.reading.0004,N5,手紙,{田中|た|なか}さんへ。お{元気|げん|き}ですか。{今週|こん|しゅう}の{土曜日|ど|よう|び}はひまですか。いっしょに{映画|えい|が}を{見|み}に{行|い}きませんか。{駅|えき}の{前|まえ}で{午後|ご|ご}{三|さん}{時|じ}に{会|あ}いましょう。{映画|えい|が}のあとで{晩|ばん}ご{飯|はん}も{食|た}べましょう。メールをください。キムより。,다나카 씨에게. 잘 지내세요? 이번 주 토요일은 한가하세요? 같이 영화를 보러 가지 않겠어요? 역 앞에서 오후 3시에 만나요. 영화 뒤에 저녁밥도 먹어요. 메일을 주세요. 김 드림.,キムさんは{土曜日|ど|よう|び}に{何|なに}をしますか。,{映画|えい|が}を{見|み}ます,{仕事|し|ごと}をします,{旅行|りょ|こう}します,{勉強|べん|きょう}します,1,편지에 「いっしょに映画を見に行きませんか」라고 씁니다. 두 사람은 영화를 봅니다.
jlpt.n5.reading.0005,N5,Eメール,リンさん、メールをありがとうございます。{明日|あした}の{日本語|に|ほん|ご}のクラスは{十|じゅう}{時|じ}からです。{九|く}{時|じ}からじゃないです。{教室|きょう|しつ}は{二|に}{階|かい}です。{本|ほん}をわすれないでください。では、{明日|あした}{会|あ}いましょう。,린 씨 메일 고마워요. 내일 일본어 수업은 10시부터예요. 9시부터가 아니에요. 교실은 2층이에요. 책을 잊지 마세요. 그럼 내일 만나요.,{明日|あした}のクラスは{何|なん}{時|じ}からですか。,{九|く}{時|じ},{十|じゅう}{時|じ},{十一|じゅう|いち}{時|じ},{十二|じゅう|に}{時|じ},2,「明日の日本語のクラスは十時からです」라고 되어 있습니다. 9시부터가 아니라고도 했습니다.
jlpt.n5.reading.0006,N5,掲示板,としょかんからのおしらせ。としょかんは{月曜日|げつ|よう|び}から{金曜日|きん|よう|び}まで{午前|ご|ぜん}{九|く}{時|じ}から{午後|ご|ご}{六|ろく}{時|じ}までです。{土曜日|ど|よう|び}は{午後|ご|ご}{五|ご}{時|じ}までです。{日曜日|にち|よう|び}はやすみです。{本|ほん}は{二|に}{週間|しゅう|かん}{借|か}りてもいいです。,도서관 알림. 도서관은 월요일부터 금요일까지 오전 9시부터 오후 6시까지입니다. 토요일은 오후 5시까지입니다. 일요일은 휴일입니다. 책은 2주간 빌려도 됩니다.,{土曜日|ど|よう|び}にとしょかんは{何|なん}{時|じ}までですか。,{午後|ご|ご}{五|ご}{時|じ},{午後|ご|ご}{六|ろく}{時|じ},{午前|ご|ぜん}{九|く}{時|じ},やすみです,1,「土曜日は午後五時までです」라고 되어 있습니다. 평일은 6시까지지만 토요일은 5시까지입니다.
jlpt.n5.reading.0007,N5,時間表,これは{駅|えき}から{空港|くう|こう}までのバスのじかんです。{朝|あさ}のバスは{七|しち}{時|じ}と{八|はち}{時|じ}にあります。{昼|ひる}のバスは{十二|じゅう|に}{時|じ}です。{夜|よる}のバスはありません。{空港|くう|こう}まで{一|いち}{時間|じ|かん}かかります。きっぷは{千|せん}{円|えん}です。,이것은 역에서 공항까지 가는 버스 시간입니다. 아침 버스는 7시와 8시에 있습니다. 낮 버스는 12시입니다. 밤 버스는 없습니다. 공항까지 한 시간 걸립니다. 표는 천 엔입니다.,{朝|あさ}のバスは{何|なん}{時|じ}にありますか。,{七|しち}{時|じ}と{八|はち}{時|じ},{十二|じゅう|に}{時|じ},{五|ご}{時|じ},{九|く}{時|じ},1,「朝のバスは七時と八時にあります」라고 되어 있습니다.
jlpt.n5.reading.0008,N5,日記,{今日|きょう}は{日曜日|にち|よう|び}でした。{朝|あさ}{早|はや}く{起|お}きて、{公園|こう|えん}を{走|はし}りました。それから{家|いえ}で{母|はは}とケーキを{作|つく}りました。{午後|ご|ご}は{妹|いもうと}と{映画|えい|が}を{見|み}に{行|い}きました。とても{楽|たの}しい{一|いち}{日|にち}でした。,오늘은 일요일이었습니다. 아침 일찍 일어나서 공원을 달렸습니다. 그러고 나서 집에서 어머니와 케이크를 만들었습니다. 오후에는 여동생과 영화를 보러 갔습니다. 아주 즐거운 하루였습니다.,この{人|ひと}は{朝|あさ}{何|なに}をしましたか。,{公園|こう|えん}を{走|はし}りました,ケーキを{作|つく}りました,{映画|えい|が}を{見|み}ました,{買|か}い{物|もの}をしました,1,「朝早く起きて公園を走りました」라고 나옵니다. 케이크는 그 뒤에 만들었고 영화는 오후입니다.
jlpt.n5.reading.0009,N5,案内,{料理|りょう|り}{教室|きょう|しつ}のおしらせ。{来週|らい|しゅう}の{水曜日|すい|よう|び}、{料理|りょう|り}{教室|きょう|しつ}があります。{時間|じ|かん}は{午後|ご|ご}{一|いち}{時|じ}から{三|さん}{時|じ}までです。{野菜|や|さい}の{料理|りょう|り}を{作|つく}ります。{千|せん}{円|えん}をもってきてください。,요리 교실 알림. 다음 주 수요일에 요리 교실이 있습니다. 시간은 오후 1시부터 3시까지입니다. 채소 요리를 만듭니다. 천 엔을 가져와 주세요.,この{教室|きょう|しつ}へ{行|い}く{人|ひと}は{何|なに}をもってきますか。,{千|せん}{円|えん},{野菜|や|さい},{本|ほん},{飲|の}み{物|もの},1,「千円をもってきてください」라고 되어 있습니다.
jlpt.n5.reading.0010,N5,手紙,お{母|かあ}さんへ。お{手紙|て|がみ}をありがとうございました。わたしは{元気|げん|き}です。{学校|がっ|こう}で{日本語|に|ほん|ご}を{勉強|べん|きょう}しています。{漢字|かん|じ}は{難|むずか}しいですが、{楽|たの}しいです。{来月|らい|げつ}、{家|いえ}へ{帰|かえ}ります。また{会|あ}いましょう。,엄마에게. 편지 고마웠어요. 저는 잘 지내요. 학교에서 일본어를 공부하고 있어요. 한자는 어렵지만 즐거워요. 다음 달에 집에 돌아가요. 또 만나요.,この{人|ひと}は{今|いま}{何|なに}をしていますか。,{日本語|に|ほん|ご}を{勉強|べん|きょう}しています,{料理|りょう|り}を{習|なら}っています,{会社|かい|しゃ}で{働|はたら}いています,{旅行|りょ|こう}しています,1,「学校で日本語を勉強しています」라고 씁니다.
