no,word,reading,genre,z,zipf
301,変動,へんどう,행정백서,1.555,4.11
302,享受,きょうじゅ,학술,1.529,3.36
303,形成,けいせい,학술,1.521,4.39
304,弱める,よわめる,행정백서,1.519,2.85
305,必然,ひつぜん,학술,1.518,3.85
306,参照,さんしょう,행정백서,1.5,4.47
307,記載,きさい,법률,1.5,4.61
308,縮まる,ちぢまる,행정백서,1.498,2.64
309,勤め先,つとめさき,행정백서,1.495,3.03
310,利潤,りじゅん,행정백서,1.467,2.67
311,背く,そむく,문학,1.452,2.69
312,名簿,めいぼ,법률,1.449,3.84
313,司る,つかさどる,법률,1.446,3.13
314,還元,かんげん,학술,1.445,4.1
315,階層,かいそう,학술,1.443,3.74
316,訴え,うったえ,법률,1.441,4.38
317,大方,おおかた,문학,1.44,3.21
318,冴える,さえる,문학,1.434,2.4
319,投入,とうにゅう,행정백서,1.431,4.25
320,手法,しゅほう,학술,1.427,4.43
321,動き,うごき,행정백서,1.422,4.84
322,拒絶,きょぜつ,법률,1.394,3.9
323,伝達,でんたつ,학술,1.393,3.83
324,秩序,ちつじょ,학술,1.38,3.97
325,察する,さっする,문학,1.379,2.83
326,産物,さんぶつ,학술,1.374,3.5
327,普遍,ふへん,학술,1.37,3.68
328,判決,はんけつ,법률,1.368,4.37
329,停滞,ていたい,행정백서,1.363,3.62
330,主題,しゅだい,학술,1.356,3.5
331,作用,さよう,학술,1.345,4.4
332,偽造,ぎぞう,법률,1.344,3.77
333,成り立つ,なりたつ,학술,1.339,3.61
334,本文,ほんぶん,법률,1.337,4.0
335,口述,こうじゅつ,법률,1.323,2.51
336,岩石,がんせき,학술,1.316,3.06
337,膜,まく,학술,1.31,4.05
338,漏らす,もらす,법률,1.302,3.37
339,側面,そくめん,학술,1.298,4.18
340,見掛ける,みかける,학술,1.298,2.47
341,権力,けんりょく,학술,1.296,4.41
342,浸す,ひたす,문학,1.292,2.58
343,顎,あご,학술,1.291,4.02
344,本質,ほんしつ,학술,1.29,4.18
345,遮る,さえぎる,문학,1.288,3.03
346,ぶら下げる,ぶらさげる,문학,1.28,2.49
347,記名,きめい,법률,1.28,3.06
348,炭素,たんそ,학술,1.272,3.73
349,人民,じんみん,학술,1.27,3.91
350,訂正,ていせい,법률,1.262,3.99
351,実践,じっせん,학술,1.254,4.27
352,規範,きはん,학술,1.254,3.69
353,傍ら,かたわら,문학,1.248,3.37
354,階級,かいきゅう,행정백서,1.244,4.12
355,分裂,ぶんれつ,학술,1.241,4.0
356,確定,かくてい,법률,1.23,4.66
357,変遷,へんせん,학술,1.228,3.45
358,閲覧,えつらん,학술,1.222,4.65
359,小切手,こぎって,법률,1.221,3.18
360,著書,ちょしょ,학술,1.211,3.87
361,独裁,どくさい,학술,1.208,3.86
362,日当,にっとう,법률,1.204,2.94
363,連帯,れんたい,법률,1.199,3.72
364,腫れる,はれる,문학,1.194,2.54
365,行為,こうい,법률,1.17,4.91
366,部門,ぶもん,행정백서,1.169,4.43
367,優位,ゆうい,행정백서,1.166,3.92
368,規定,きてい,법률,1.163,4.49
369,集計,しゅうけい,행정백서,1.162,3.86
370,存続,そんぞく,법률,1.159,3.89
371,調和,ちょうわ,학술,1.142,3.78
372,様式,ようしき,학술,1.139,3.86
373,容易い,たやしい,문학,1.137,2.75
374,嘴,くちばし,학술,1.133,2.56
375,余程,よほど,문학,1.132,3.21
376,類似,るいじ,학술,1.13,4.01
377,介入,かいにゅう,학술,1.095,4.02
378,無効,むこう,법률,1.085,4.27
379,専ら,もっぱら,학술,1.078,2.96
380,刊行,かんこう,학술,1.071,3.75
381,空しい,むなしい,문학,1.067,2.49
382,転勤,てんきん,행정백서,1.063,3.49
383,器官,きかん,학술,1.062,3.52
384,学芸,がくげい,학술,1.055,3.46
385,古代,こだい,학술,1.051,4.37
386,弁護,べんご,법률,1.05,3.95
387,生育,せいいく,학술,1.048,3.38
388,複合,ふくごう,학술,1.048,3.93
389,役職,やくしょく,법률,1.043,3.67
390,元素,げんそ,학술,1.034,3.5
391,吊るす,つるす,문학,1.033,2.81
392,著,ちょ,학술,1.028,4.07
393,調停,ちょうてい,법률,0.992,3.57
394,願書,がんしょ,법률,0.968,2.93
395,主任,しゅにん,법률,0.929,3.99
396,元来,がんらい,학술,0.922,3.22
397,業績,ぎょうせき,행정백서,0.898,4.06
398,語源,ごげん,학술,0.88,3.53
399,蓄積,ちくせき,행정백서,0.875,3.86
400,捜索,そうさく,법률,0.873,4.0
