no,word,reading,genre,z,zipf
201,堤防,ていぼう,논설·행정,2.006,3.48
202,配慮,はいりょ,논설·행정,2.006,4.28
203,概説,がいせつ,학술,2.003,2.62
204,討論,とうろん,논설·행정,2.001,3.8
205,密接,みっせつ,학술,1.995,3.6
206,再発,さいはつ,논설·행정,1.983,3.88
207,訴訟,そしょう,법률,1.974,4.42
208,弾力,だんりょく,논설·행정,1.969,3.23
209,反する,はんする,논설·행정,1.963,3.74
210,両立,りょうりつ,논설·행정,1.962,3.76
211,節,ふし,행정백서,1.961,4.34
212,職員,しょくいん,논설·행정,1.96,4.58
213,交付,こうふ,논설·행정,1.958,3.84
214,着目,ちゃくもく,행정백서,1.958,3.47
215,外相,がいしょう,논설·행정,1.946,3.5
216,樹立,じゅりつ,논설·행정,1.939,3.18
217,武力,ぶりょく,논설·행정,1.939,3.77
218,絶える,たえる,논설·행정,1.935,3.02
219,膨れる,ふくれる,문학,1.935,2.35
220,貯蓄,ちょちく,행정백서,1.935,3.58
221,法学,ほうがく,학술,1.929,3.29
222,取り締まる,とりしまる,논설·행정,1.926,3.0
223,視察,しさつ,논설·행정,1.926,3.77
224,技能,ぎのう,논설·행정,1.922,4.02
225,正に,まさに,논설·행정,1.922,3.65
226,赤字,あかじ,논설·행정,1.922,3.99
227,従事,じゅうじ,논설·행정,1.921,3.95
228,刑,けい,법률,1.909,4.08
229,充実,じゅうじつ,논설·행정,1.907,4.41
230,工学,こうがく,학술,1.904,4.01
231,洒落る,しゃれる,문학,1.904,0.0
232,封建,ほうけん,학술,1.902,3.14
233,真理,しんり,학술,1.902,3.89
234,領土,りょうど,논설·행정,1.901,3.92
235,改まる,あらたまる,논설·행정,1.893,1.58
236,衛生,えいせい,학술,1.892,4.25
237,野党,やとう,논설·행정,1.892,4.03
238,配列,はいれつ,학술,1.889,3.76
239,個別,こべつ,논설·행정,1.886,4.29
240,見通し,みとおし,논설·행정,1.886,3.98
241,原則,げんそく,논설·행정,1.879,4.31
242,現行,げんこう,논설·행정,1.877,4.12
243,組み合わせる,くみあわせる,논설·행정,1.872,3.44
244,自立,じりつ,논설·행정,1.868,3.97
245,過労,かろう,논설·행정,1.868,3.53
246,演ずる,えんずる,문학,1.865,2.66
247,定義,ていぎ,학술,1.864,4.46
248,向上,こうじょう,논설·행정,1.859,4.51
249,受け継ぐ,うけつぐ,학술,1.855,3.37
250,漏れる,もれる,논설·행정,1.854,3.26
251,慣習,かんしゅう,학술,1.851,3.56
252,厳密,げんみつ,학술,1.847,3.79
253,営む,いとなむ,법률,1.844,3.41
254,試みる,こころみる,학술,1.83,3.53
255,健全,けんぜん,논설·행정,1.829,4.09
256,待ち望む,まちのぞむ,논설·행정,1.828,2.41
257,記述,きじゅつ,학술,1.825,4.23
258,要請,ようせい,논설·행정,1.823,4.39
259,申告,しんこく,법률,1.822,3.93
260,所在,しょざい,법률,1.817,3.77
261,与党,よとう,논설·행정,1.816,3.83
262,志向,しこう,학술,1.816,3.89
263,色々,いろいろ,논설·행정,1.815,5.06
264,仮,かり,논설·행정,1.811,4.21
265,一定,いってい,논설·행정,1.809,4.49
266,国交,こっこう,논설·행정,1.809,3.64
267,職務,しょくむ,법률,1.806,4.05
268,柔軟,じゅうなん,논설·행정,1.802,3.93
269,長官,ちょうかん,논설·행정,1.801,4.48
270,甚だ,はなはだ,논설·행정,1.8,2.85
271,広まる,ひろまる,학술,1.792,3.26
272,細菌,さいきん,학술,1.79,3.95
273,専修,せんしゅう,학술,1.784,2.77
274,任命,にんめい,법률,1.783,3.83
275,実質,じっしつ,행정백서,1.782,4.38
276,清算,せいさん,법률,1.779,3.51
277,不服,ふふく,법률,1.774,3.26
278,化石,かせき,학술,1.765,3.77
279,心細い,こころぼそい,문학,1.76,2.51
280,未婚,みこん,행정백서,1.759,3.52
281,取り立てる,とりたてる,법률,1.751,2.33
282,屡,しばしば,학술,1.751,1.85
283,好況,こうきょう,학술,1.742,2.37
284,微か,かすか,문학,1.741,3.0
285,資産,しさん,행정백서,1.741,4.43
286,該当,がいとう,법률,1.739,4.33
287,合成,ごうせい,학술,1.737,4.26
288,承諾,しょうだく,법률,1.722,3.79
289,処分,しょぶん,법률,1.721,4.64
290,無論,むろん,문학,1.715,3.46
291,起源,きげん,학술,1.678,3.81
292,進化,しんか,학술,1.663,4.67
293,領域,りょういき,학술,1.649,4.43
294,確立,かくりつ,학술,1.63,4.14
295,事項,じこう,법률,1.629,4.32
296,講習,こうしゅう,법률,1.623,3.91
297,刑罰,けいばつ,학술,1.589,3.38
298,適応,てきおう,학술,1.572,4.03
299,利息,りそく,법률,1.57,3.24
300,葬る,ほうむる,문학,1.567,2.72
