no,word,reading,genre,z,zipf
101,滞る,とどこおる,논설·행정,2.428,2.56
102,責務,せきむ,논설·행정,2.425,3.42
103,分子,ぶんし,학술,2.405,3.97
104,決算,けっさん,논설·행정,2.401,3.81
105,弱まる,よわまる,행정백서,2.389,2.77
106,打ち切る,うちきる,논설·행정,2.386,2.86
107,手数,てすう,법률,2.36,3.01
108,船舶,せんぱく,논설·행정,2.357,3.47
109,確保,かくほ,논설·행정,2.353,4.7
110,誤る,あやまる,논설·행정,2.347,3.04
111,行政,ぎょうせい,논설·행정,2.344,4.52
112,取り巻く,とりまく,논설·행정,2.327,3.32
113,政策,せいさく,논설·행정,2.323,4.74
114,負担,ふたん,논설·행정,2.321,4.58
115,関税,かんぜい,논설·행정,2.317,3.75
116,投資,とうし,행정백서,2.316,4.67
117,不可欠,ふかけつ,논설·행정,2.314,3.79
118,如何,いかが,논설·행정,2.311,3.96
119,事業,じぎょう,논설·행정,2.299,5.08
120,簡潔,かんけつ,논설·행정,2.294,3.58
121,放り出す,ほうりだす,문학,2.284,2.38
122,地方,ちほう,논설·행정,2.28,4.9
123,確り,しっかり,논설·행정,2.274,1.99
124,依然,いぜん,행정백서,2.265,3.38
125,民主,みんしゅ,논설·행정,2.253,4.43
126,復旧,ふっきゅう,논설·행정,2.252,4.03
127,比率,ひりつ,행정백서,2.251,4.08
128,危ぶむ,あやぶむ,논설·행정,2.239,2.0
129,弛む,たゆむ,논설·행정,2.239,1.23
130,所定,しょてい,행정백서,2.236,3.46
131,臨む,のぞむ,논설·행정,2.236,3.43
132,条約,じょうやく,논설·행정,2.234,4.11
133,帯びる,おびる,문학,2.227,2.51
134,読み上げる,よみあげる,논설·행정,2.225,2.89
135,詫び,わび,논설·행정,2.221,3.28
136,振興,しんこう,논설·행정,2.216,3.9
137,見合わせる,みあわせる,문학,2.216,2.42
138,解剖,かいぼう,학술,2.215,3.78
139,河川,かせん,논설·행정,2.212,3.66
140,伴う,ともなう,행정백서,2.208,4.22
141,迅速,じんそく,논설·행정,2.208,3.9
142,近付く,ちかづく,논설·행정,2.208,3.04
143,審判,しんぱん,법률,2.203,3.97
144,財,ざい,행정백서,2.202,3.86
145,収益,しゅうえき,행정백서,2.201,4.01
146,防衛,ぼうえい,논설·행정,2.201,4.59
147,早急,さっきゅう,논설·행정,2.2,3.68
148,強いる,しいる,논설·행정,2.199,3.09
149,化合,かごう,학술,2.192,3.62
150,情勢,じょうせい,논설·행정,2.192,3.91
151,跨ぐ,またぐ,논설·행정,2.192,2.42
152,据える,すえる,논설·행정,2.191,2.96
153,軽減,けいげん,논설·행정,2.189,4.11
154,認識,にんしき,논설·행정,2.18,4.72
155,分配,ぶんぱい,행정백서,2.177,3.81
156,群集,ぐんしゅう,학술,2.172,3.0
157,勧告,かんこく,논설·행정,2.169,3.79
158,領海,りょうかい,논설·행정,2.163,3.23
159,名付ける,なづける,학술,2.162,2.9
160,強める,つよめる,논설·행정,2.15,3.21
161,黒字,くろじ,행정백서,2.147,3.52
162,補助,ほじょ,논설·행정,2.144,4.39
163,感染,かんせん,논설·행정,2.142,4.68
164,一律,いちりつ,논설·행정,2.139,3.61
165,兼業,けんぎょう,행정백서,2.139,3.01
166,留める,とめる,논설·행정,2.127,3.23
167,要望,ようぼう,논설·행정,2.124,4.2
168,気象,きしょう,학술,2.119,3.93
169,隔たる,へだたる,문학,2.118,0.0
170,結合,けつごう,학술,2.115,3.96
171,概念,がいねん,학술,2.111,4.44
172,取り扱い,とりあつかい,논설·행정,2.1,3.91
173,一気,いっき,논설·행정,2.094,3.37
174,原油,げんゆ,행정백서,2.087,3.62
175,証人,しょうにん,법률,2.08,3.88
176,議案,ぎあん,논설·행정,2.08,3.04
177,過疎,かそ,논설·행정,2.075,3.68
178,田園,でんえん,논설·행정,2.07,3.16
179,細胞,さいぼう,학술,2.07,4.65
180,内訳,うちわけ,행정백서,2.059,3.56
181,受け入れる,うけいれる,논설·행정,2.057,4.07
182,採択,さいたく,논설·행정,2.057,3.53
183,産出,さんしゅつ,행정백서,2.057,3.05
184,控える,ひかえる,논설·행정,2.054,3.58
185,機構,きこう,논설·행정,2.05,4.29
186,旅客,りょかく,논설·행정,2.049,3.18
187,剥げる,はげる,문학,2.047,1.67
188,欺く,あざむく,문학,2.046,2.82
189,首脳,しゅのう,논설·행정,2.046,3.87
190,付け加える,つけくわえる,논설·행정,2.041,2.94
191,久しい,ひさしい,논설·행정,2.037,3.18
192,方策,ほうさく,논설·행정,2.037,3.27
193,脱する,だっする,행정백서,2.037,2.76
194,居住,きょじゅう,법률,2.03,4.05
195,主権,しゅけん,논설·행정,2.029,3.74
196,増進,ぞうしん,논설·행정,2.021,3.3
197,差し掛かる,さしかかる,논설·행정,2.019,2.42
198,合意,ごうい,논설·행정,2.018,4.31
199,把握,はあく,논설·행정,2.008,4.44
200,浅ましい,あさましい,문학,2.008,2.24
